,기간,소파,친환경종이가구,시스템선반,침대옆협탁,천연라텍스베개,거실장2000,이동식철제행거,티비거실장,다용도4단서랍장,고무나무식탁,시스템수납선반,아쿠아텍스4인용소파,세라믹거실테이블,대리석거실테이블,원목2인식탁세트,이태리세라믹식탁세트,마켓비책상,패브릭스툴,야외이동주방,네이즌쿨매트,초등학생바른자세책상,원목티비다이거실장,접이식토퍼매트리스,코지블,모찌,순면양면누빔베개커버,네이즌여름매트,호텔식암막커튼나비주름,박술녀인견이불,아쿠아텍스모듈소파,박구환,침대슈퍼싱글,메쉬사무용의자,침대프레임퀸,아이스냉쿨매트,도토리수납함,식탁4인용,쇼파3인,소파아쿠아텍스,책상원목,쇼파4인,식탁6인용,식탁세트4인용,루나매트리스,실리콘네온사인,소파3인용,화사초,식탁세라믹,침대프레임원목,김광규카페트,화사거울,로보어린이의자,꼬메벨로메모리폼접이식침대토퍼매트오가닉매쉬ss,마켓비슬라이딩옷장,꼬메벨로접이식바닥메모리폼토퍼매트리스10cms,셀레티거울,에피하임에그체어안락의자,밥솥선반,에피하임거실안락의자,박술녀풍기인견이불,슈퍼싱글메모리폼,덴마크화병,린넨,사무용파티션,에몬스,인조,지컷원피스,유치원,인홈저상형침대,르올여름이불,책상의자사무용,디자인누비호텔식암막커튼,더리체세라믹식탁,꾸며드림숙면베개,조야패브릭2인소파,암막커튼추천,대리석소파테이블,황금,한옥,사계절암막커튼,사무실컴퓨터의자,메탈시트지,초마루디퓨저,스타벅스테이블,스피드랙행거,침대커튼,티비다이거실장,거실용커튼,캥거루앞치마,빛쟁이조명,본베베침대가드,컴퓨터책상사무용의자,마지스트롤리,공부학생컴퓨터의자,방음재,원목4인식탁세트,블랙발매트,발매트소형,빨아쓰는거북목베개,아로마버너,바닥토퍼매트리스,원목우드슬랩,핑크발매트,물수정,가꿈스튜디오,글루시오로라,아쿠아매직텍스패브릭소파,패브릭스윙소파,수납침대프레임q,리모컨달무드등,시어서커,이불토퍼,에이로마골드에디션디퓨저200ml1+1,알레르망냉감패드,인테리어방향제,방향제디퓨저,컴퓨터사무용의자,사무용의자모드니,책상사무용의자,비정형거울,골드에디션디퓨저200ml1+1,방수실리콘식탁매트,메모리폼매트리스ss,린즈홈,거실속커튼,거실쉬폰커튼,무지천,트웸코,코난범인무드등,기능성,시디즈메쉬의자,프리미엄,마켓비모듈수납장,화이트소프트매트리스,발릴라,리빙제이,잠솔솔,에르고휴먼,아쿠아텍스3인용패브릭소파,태양열조명,여름이불60수,헤링본쿨매트,방수베개커버,원목침대프레임ss,우드행거,실내분수,르올바디필로우,실내용천연디퓨저,실내용디퓨저,무볼트앵글,모던티비다이,편백깔판,사무용책상의자,장미맨숀,헬시메이트블랙라벨기능성메모리폼경추베개,빨아쓰는발매트,양면암막커튼,모래멍,책상컴퓨터의자,소음재,학생책상의자,릴리4인용세라믹식탁,컴퓨터학생의자,쪽가위
0,2019-06-13,36.04526,0.0,2.53861,0.12234,0.70347,0.16821999999999804,0.0,1.085790000000003,0.0,0.6728799999999993,0.0,0.0,0.15292000000000172,0.9787400000000019,0.0,0.0,1.6822100000000013,0.275269999999999,0.0,0.0,0.0,0.0,0.09174999999999756,0.0,7.9369900000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.4281999999999968,0.0,0.38232,0.0,0.0,0.596420000000002,0.0,0.0,0.0,0.0,0.4129000000000005,0.0,0.0,0.0,0.3058499999999995,0.0,0.0,0.0,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,0.0,0.0,0.07645999999999731,0.0,0.932859999999998,0.0,0.0,0.09174999999999756,0.0,41.91772,2.5538999999999987,12.76953,8.151250634314398,13.946784022836887,19.834372627423956,0.0004187890540379158,0.0,0.0,0.0,0.0,0.0,0.0,0.39761000000000024,0.825809999999997,2.9362199999999987,10.79675,0.0,0.0,1.4833999999999996,0.0,2.2633399999999995,1.1928399999999968,1.039909999999999,0.0,0.0,0.10705000000000098,0.0,0.0,0.0,0.0,0.0,5.39837,0.0,0.0,0.0,0.0,0.2293900000000022,0.0,0.0,0.0,0.0,0.09174999999999756,0.0,0.0,0.0,0.0,0.0,11.65315,0.15292000000000172,0.0,0.0,0.07645999999999731,0.0,0.0,0.0,0.0,0.10705000000000098,0.0,0.0,0.0,0.15292000000000172,0.6117100000000022,0.275269999999999,0.21410000000000196,0.13763000000000147,0.0,2.5386099999999985,0.07645999999999731,11.332,0.0,0.0,0.0,0.7187600000000032,0.36701999999999657,0.5046600000000012,0.0,1.1316699999999997,0.0,0.0,0.5046600000000012,0.10705000000000098,0.5811199999999985,0.7187600000000032,0.0,0.0,0.0,0.6117100000000022,0.9022700000000015,0.0,0.0,1.7434292897627124,7.644865660694222e-05,7.644865660694222e-05,7.644865660694222e-05,0.0,0.0,0.0,0.07645999999999731,0.0,0.0,2.033950000000001
1,2019-06-14,34.77595,0.0,2.1257,0.0,0.65759,0.24468000000000245,0.0,1.2081300000000006,0.0,0.8869800000000012,0.0,0.0,0.16821999999999804,0.8105199999999968,0.0,0.0,1.52928,0.36701999999999657,0.0,0.0,0.0,0.0,0.0,0.0,8.044040000000003,0.0,0.0,0.0,0.0,0.0,0.09174999999999756,0.4587799999999973,0.0,0.32115000000000293,0.0,0.0,0.3058499999999995,0.0,0.0,0.0,0.0,0.19879999999999853,0.0,0.0,0.0,0.2293900000000022,0.0,0.07645999999999731,0.0,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,0.0,0.0,0.0,0.0,0.6270000000000024,0.0,0.0,0.12234000000000123,0.0,33.98073,2.6456599999999995,11.27083,7.7988106642386015,12.601462793778914,18.7494361523772,0.0004187890540379158,0.0,0.0,0.0,0.0,0.0,0.0,0.4281999999999968,0.7493499999999997,2.4468500000000013,7.631129999999999,0.0,0.0,1.3610599999999984,0.0,1.6822100000000013,0.9634500000000017,1.0093200000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61844,0.0,0.0,0.0,0.0,0.09174999999999756,0.0,0.0,0.0,0.0,0.07645999999999731,0.0,0.0,0.0,0.0,0.0,10.16975,0.2293900000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12234000000000123,0.48937000000000097,0.12234000000000123,0.12234000000000123,0.32115000000000293,0.0,2.049240000000001,0.0,10.750869999999999,0.0,0.0,0.0,0.5658299999999983,0.47406999999999755,0.47406999999999755,0.0,1.0705000000000027,0.0,0.0,0.550539999999998,0.0,0.6270000000000024,0.7952200000000005,0.0,0.0,0.0,0.5046600000000012,0.6422999999999988,0.0,0.09174999999999756,1.5751768627635627,7.644865660694222e-05,0.09176877752880586,7.644865660694222e-05,0.0,0.0,0.0,0.15292000000000172,0.0,0.0,1.94219
2,2019-06-15,41.56598,0.0,2.06453,0.15292,0.59642,0.3058499999999995,0.0,1.4528199999999991,0.0,0.9022700000000015,0.0,0.0,0.2293900000000022,1.14696,0.0,0.0,1.284600000000001,0.24468000000000245,0.0,0.0,0.0,0.0,0.07645999999999731,0.0,7.921699999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.5199500000000015,0.0,0.35173000000000343,0.0,0.0,0.7799300000000002,0.0,0.0,0.0,0.0,0.35173000000000343,0.0,0.0,0.0,0.38232,0.0,0.0,0.0,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,0.0,0.0,0.0,0.0,0.5199500000000015,0.0,0.0,0.16821999999999804,0.0,35.37238,1.2540099999999974,14.02355,7.034752370902645,15.033035572398852,9.175693681661578,0.0004187890540379158,0.0,0.0,0.0,0.0,0.0,0.0,0.7340500000000034,0.871690000000001,2.9209299999999985,5.230150000000002,0.0,0.0,0.7799300000000002,0.0,2.2786299999999997,0.7187600000000032,1.0246199999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9302600000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.818010000000001,0.0,0.0,0.0,0.07645999999999731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275269999999999,0.825809999999997,0.35173000000000343,0.10705000000000098,0.36701999999999657,0.0,1.6975000000000016,0.0,6.897069999999999,0.0,0.0,0.13763000000000147,0.2599700000000027,0.19879999999999853,0.2293900000000022,0.0,0.932859999999998,0.0,0.0,0.4281999999999968,0.0,0.6422999999999988,0.44348999999999705,0.0,0.0,0.0,0.44348999999999705,1.0246199999999988,0.0,0.0,1.988091990822042,7.644865660694222e-05,7.644865660694222e-05,7.644865660694222e-05,0.0,0.0,0.0,0.12234000000000123,0.0,0.0,1.14696
3,2019-06-16,47.92781,0.0,2.27863,0.2141,0.77993,0.13763000000000147,0.0,1.6975000000000016,0.0,0.7952200000000005,0.0,0.0,0.3058499999999995,1.0705000000000027,0.0,0.0,2.0033600000000007,0.15292000000000172,0.0,0.0,0.0,0.0,0.0,0.0,7.493500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.6728799999999993,0.0,0.39761000000000024,0.0,0.0,0.6422999999999988,0.0,0.0,0.0,0.12234000000000123,0.38232,0.0,0.0,0.0,0.3058499999999995,0.0,0.07645999999999731,0.09174999999999756,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,0.0,0.0,0.0,0.0,1.2234200000000008,0.0,0.0,0.19879999999999853,0.0,33.79721,1.5445700000000002,17.3421,9.649120507136526,15.995670117531251,9.512352757554872,0.0004187890540379158,0.0,0.0,0.0,0.0,0.0,0.0,0.7187600000000032,1.2081300000000006,2.3856800000000007,8.05933,0.0,0.0,0.9634500000000017,0.0,1.8810199999999995,1.039909999999999,1.2387200000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.174949999999999,0.0,0.0,0.0,0.0,0.39761000000000024,0.0,0.0,0.0,0.0,0.09174999999999756,0.0,0.0,0.0,0.0,0.0,10.827340000000003,0.2293900000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2293900000000022,0.9481499999999983,0.39761000000000024,0.13763000000000147,0.3058499999999995,0.0,2.30922,0.10705000000000098,7.00412,0.0,0.0,0.0,0.29055999999999926,0.44348999999999705,0.36701999999999657,0.0,0.9787400000000019,0.0,0.0,0.7493499999999997,0.0,1.0093200000000024,0.4587799999999973,0.0,0.0,0.0,0.19879999999999853,0.7187600000000032,0.0,0.0,1.621097939233053,7.644865660694222e-05,7.644865660694222e-05,7.644865660694222e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.3763499999999986
4,2019-06-17,43.79874,0.0,2.85976,0.10705,0.8411,0.3364400000000032,0.0,1.7586699999999986,0.0,1.0093200000000024,0.0,0.0,0.3364400000000032,1.1163700000000034,0.0,0.0,1.7892599999999987,0.35173000000000343,0.0,0.0,0.0,0.0,0.10705000000000098,0.0,8.50282,0.0,0.0,0.0,0.0,0.0,0.0,0.596420000000002,0.0,0.39761000000000024,0.0,0.0,0.9022700000000015,0.18350999999999829,0.0,0.0,0.0,0.3058499999999995,0.0,0.0,0.0,0.35173000000000343,0.0,0.07645999999999731,0.0,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,0.0,0.0,0.0,0.0,1.2081300000000006,0.0,0.0,0.0,0.0,37.92628,2.4774400000000014,16.17984,9.297995611575935,14.742404104537844,14.910733642484487,0.0004187890540379158,0.0,0.0,0.0,0.0,0.0,0.0,0.657589999999999,1.2998900000000013,2.4774400000000014,9.35922,0.0,0.0,1.0705000000000027,0.0,2.5386099999999985,1.1010800000000032,1.5751600000000003,0.0,0.0,0.07645999999999731,0.0,0.0,0.0,0.0,0.0,5.7654,0.0,0.0,0.0,0.0,0.24468000000000245,0.0,0.0,0.0,0.0,0.18350999999999829,0.0,0.0,0.0,0.0,0.0,12.203699999999998,0.15292000000000172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2293900000000022,0.7340500000000034,0.4587799999999973,0.15292000000000172,0.2599700000000027,0.0,2.5538999999999987,0.0,10.98027,0.0,0.0,0.0,0.36701999999999657,0.3364400000000032,0.48937000000000097,0.0,1.0093200000000024,0.0,0.0,0.6881699999999995,0.0,0.9940300000000022,0.38232,0.0,0.0,0.0,0.550539999999998,0.8564000000000007,0.0,0.0,1.5751768627635627,7.644865660694222e-05,0.09176877752880586,7.644865660694222e-05,0.0,0.0,0.0,0.10705000000000098,0.0,0.0,1.9574800000000003
5,2019-06-18,39.48615,0.0,2.73742,0.27527,0.93286,0.3058499999999995,0.0,1.94219,0.0,1.1928399999999968,0.0,0.0,0.3058499999999995,1.2387200000000007,0.0,0.0,1.7280900000000017,0.19879999999999853,0.0,0.0,0.0,0.0,0.0,0.0,8.60987,0.0,0.0,0.0,0.0,0.0,0.0,0.7340500000000034,0.0,0.47406999999999755,0.0,0.0,0.6117100000000022,0.0,0.0,0.0,0.0,0.3364400000000032,0.0,0.0,0.0,0.3058499999999995,0.0,0.0,0.0,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,0.0,0.0,0.10705000000000098,0.0,0.9481499999999983,0.0,0.0,0.0,0.0,39.3944,2.431560000000001,12.34133,8.793006997735993,15.797093865734812,16.883345415296777,0.0004187890540379158,0.0,0.0,0.0,0.0,0.0,0.0,0.7187600000000032,0.825809999999997,2.966809999999999,8.86985,0.0,0.0,0.9022700000000015,0.0,1.7433799999999984,0.9787400000000019,1.2081300000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.346530000000001,0.0,0.0,0.0,0.0,0.275269999999999,0.0,0.0,0.0,0.0,0.15292000000000172,0.0,0.0,0.0,0.0,0.0,10.44502,0.275269999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39761000000000024,0.5658299999999983,0.19879999999999853,0.12234000000000123,0.15292000000000172,0.0,2.29392,0.07645999999999731,10.337969999999999,0.0,0.0,0.0,0.657589999999999,0.5352499999999978,0.2599700000000027,0.0,0.8564000000000007,0.0,0.0,0.5199500000000015,0.0,0.9175699999999978,0.5199500000000015,0.0,0.0,0.0,0.6422999999999988,1.2998900000000013,0.0,0.12234000000000123,1.4069993477978002,7.644865660694222e-05,7.644865660694222e-05,7.644865660694222e-05,0.0,0.0,0.0,0.12234000000000123,0.0,0.0,1.835139999999999
6,2019-06-19,39.13442,0.0,2.46215,0.1988,0.70347,0.15292000000000172,0.0,1.7739699999999985,0.0,0.7952200000000005,0.0,0.0,0.3058499999999995,1.1316699999999997,0.0,0.0,1.3457700000000017,0.3058499999999995,0.0,0.0,0.0,0.0,0.0,0.0,6.94295,0.0,0.0,0.0,0.0,0.0,0.0,0.48937000000000097,0.0,0.36701999999999657,0.0,0.0,0.48937000000000097,0.12234000000000123,0.0,0.07645999999999731,0.0,0.13763000000000147,0.0,0.0,0.0,0.24468000000000245,0.0,0.09174999999999756,0.07645999999999731,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,0.0,0.0,0.0,0.0,0.7799300000000002,0.0,0.0,0.09174999999999756,0.0,38.01804,2.32451,13.029510000000002,9.436078435672798,14.023058344718965,15.476215684024012,0.0004187890540379158,0.0,0.0,0.0,0.0,0.0,0.0,0.596420000000002,0.8105199999999968,2.431560000000001,7.600549999999998,0.0,0.0,0.8105199999999968,0.0,1.9574800000000003,1.2693000000000012,1.1163700000000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.774729999999998,0.0,0.0,0.0,0.0,0.18350999999999829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.63786,0.16821999999999804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2293900000000022,0.7187600000000032,0.29055999999999926,0.15292000000000172,0.18350999999999829,0.0,2.0033600000000007,0.07645999999999731,11.087319999999998,0.0,0.0,0.0,0.657589999999999,0.4281999999999968,0.2599700000000027,0.0,0.9940300000000022,0.0,0.0,0.6117100000000022,0.0,0.7799300000000002,0.48937000000000097,0.0,0.0,0.0,0.76464,1.0705000000000027,0.0,0.0,2.2328296039147517,7.644865660694222e-05,7.644865660694222e-05,7.644865660694222e-05,0.0,0.0,0.0,0.16821999999999804,0.0,0.0,1.7280900000000017
7,2019-06-20,34.92888,0.0,2.11041,0.18351,0.70347,0.18350999999999829,0.0,1.4069399999999987,0.0,0.76464,0.0,0.0,0.275269999999999,1.14696,0.0,0.0,1.7128000000000014,0.12234000000000123,0.0,0.0,0.0,0.0,0.0,0.0,7.32527,0.0,0.0,0.0,0.0,0.0,0.0,0.4587799999999973,0.0,0.48937000000000097,0.0,0.0,0.6422999999999988,0.10705000000000098,0.0,0.10705000000000098,0.09174999999999756,0.3058499999999995,0.0,0.0,0.0,0.3364400000000032,0.0,0.0,0.0,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,0.0,0.0,0.0,0.0,0.6270000000000024,0.0,0.0,0.0,0.0,36.54993,2.69154,12.983629999999998,9.0994193597795,13.441795408996942,14.267662204547687,0.0004187890540379158,0.0,0.0,0.0,0.0,0.0,0.0,0.5811199999999985,0.8105199999999968,2.8597600000000014,9.527450000000002,0.0,0.0,0.8105199999999968,0.0,2.033950000000001,1.2998900000000013,1.1928399999999968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7135599999999975,0.19879999999999853,0.0,0.0,0.0,0.275269999999999,0.0,0.0,0.0,0.0,0.07645999999999731,0.0,0.0,0.0,0.0,0.0,11.25554,0.15292000000000172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2599700000000027,0.6728799999999993,0.13763000000000147,0.0,0.16821999999999804,0.0,1.9574800000000003,0.07645999999999731,10.307380000000002,0.0,0.0,0.0,1.2387200000000007,0.4587799999999973,0.36701999999999657,0.0,0.9481499999999983,0.0,0.0,0.657589999999999,0.0,0.6270000000000024,0.47406999999999755,0.0,0.0,0.0,0.6270000000000024,1.0093200000000024,0.0,0.0,1.8046324210442464,7.644865660694222e-05,7.644865660694222e-05,7.644865660694222e-05,0.0,0.0,0.0,0.07645999999999731,0.0,0.0,1.6822100000000013
8,2019-06-21,35.58648,0.0,2.27863,0.27527,0.70347,0.16821999999999804,0.0,0.9634500000000017,0.0,0.7799300000000002,0.0,0.0,0.3364400000000032,1.039909999999999,0.0,0.0,1.4833999999999996,0.2293900000000022,0.0,0.0,0.0,0.0,0.0,0.0,7.615839999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.5199500000000015,0.0,0.32115000000000293,0.0,0.0,0.32115000000000293,0.0,0.0,0.0,0.0,0.2293900000000022,0.0,0.0,0.0,0.16821999999999804,0.0,0.0,0.09174999999999756,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,0.0,0.0,0.07645999999999731,0.0,0.7187600000000032,0.0,0.0,0.0,0.0,33.33843,2.3703900000000004,11.913130000000002,6.499517043212908,13.794235379072735,12.202995215670825,0.0004187890540379158,0.0,0.0,0.0,0.0,0.0,0.0,0.5199500000000015,0.657589999999999,2.798590000000001,7.38645,0.0,0.0,0.7493499999999997,0.0,1.422229999999999,0.657589999999999,0.9022700000000015,0.0,0.0,0.0,0.07645999999999731,0.0,0.0,0.0,0.0,6.1630199999999995,0.0,0.0,0.0,0.0,0.3364400000000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.56736,0.10705000000000098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29055999999999926,0.657589999999999,0.10705000000000098,0.15292000000000172,0.18350999999999829,0.0,1.4681099999999958,0.19879999999999853,9.818010000000001,0.0,0.0,0.871690000000001,0.932859999999998,0.5352499999999978,0.35173000000000343,0.0,1.039909999999999,0.0,0.0,0.4587799999999973,0.0,0.5658299999999983,0.4129000000000005,0.0,0.0,0.0,0.5811199999999985,0.7952200000000005,0.0,0.09174999999999756,2.079859231727635,7.644865660694222e-05,7.644865660694222e-05,7.644865660694222e-05,0.0,0.0,0.0,0.07645999999999731,0.0,0.0,1.835139999999999
9,2019-06-22,40.49548,0.0,1.9269,0.1988,0.65759,0.16821999999999804,0.0,1.4069399999999987,0.0,0.7034700000000029,0.0,0.0,0.3058499999999995,1.0705000000000027,0.0,0.0,1.3763499999999986,0.12234000000000123,0.0,0.0,0.0,0.0,0.0,0.0,7.157049999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.5352499999999978,0.0,0.3058499999999995,0.0,0.0,0.38232,0.19879999999999853,0.0,0.0,0.0,0.24468000000000245,0.0,0.0,0.0,0.2293900000000022,0.0,0.0,0.09174999999999756,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,7.086571400805042e-07,0.0,0.0,0.0,0.0,0.7034700000000029,0.0,0.0,0.07645999999999731,0.0,31.35035,1.4528199999999991,12.218989999999998,6.453489435180622,14.543827852741408,7.157054300817002,0.0004187890540379158,0.0,0.0,0.0,0.0,0.0,0.0,0.4129000000000005,0.825809999999997,2.4621499999999976,5.107810000000001,0.0,0.0,0.48937000000000097,0.0,2.1409999999999982,0.9175699999999978,0.9022700000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.214860000000002,0.10705000000000098,0.0,0.0,0.0,0.15292000000000172,0.0,0.0,0.0,0.0,0.09174999999999756,0.0,0.0,0.0,0.0,0.0,8.747509999999998,0.13763000000000147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18350999999999829,0.6881699999999995,0.32115000000000293,0.19879999999999853,0.29055999999999926,0.0,1.804549999999999,0.09174999999999756,6.453579999999999,0.0,0.0,0.19879999999999853,0.4281999999999968,0.4129000000000005,0.48937000000000097,0.0,1.0093200000000024,0.0,0.0,0.39761000000000024,0.0,0.6117100000000022,0.6117100000000022,0.0,0.0,0.0,0.5199500000000015,0.9787400000000019,0.0,0.0,1.9116817167618727,7.644865660694222e-05,7.644865660694222e-05,7.644865660694222e-05,0.0,0.0,0.0,0.09174999999999756,0.0,0.0,1.4681099999999958
