,키워드,날짜,수집날짜,검색량
0,쪽가위,2022-05-13,2022-06-13,125
1,쪽가위,2022-05-14,2022-06-13,113
2,쪽가위,2022-05-15,2022-06-13,119
3,쪽가위,2022-05-16,2022-06-13,146
4,쪽가위,2022-05-17,2022-06-13,177
5,쪽가위,2022-05-18,2022-06-13,180
6,쪽가위,2022-05-19,2022-06-13,198
7,쪽가위,2022-05-20,2022-06-13,144
8,쪽가위,2022-05-21,2022-06-13,118
9,쪽가위,2022-05-22,2022-06-13,113
10,쪽가위,2022-05-23,2022-06-13,177
11,쪽가위,2022-05-24,2022-06-13,187
12,쪽가위,2022-05-25,2022-06-13,204
13,쪽가위,2022-05-26,2022-06-13,176
14,쪽가위,2022-05-27,2022-06-13,139
15,쪽가위,2022-05-28,2022-06-13,122
16,쪽가위,2022-05-29,2022-06-13,105
17,쪽가위,2022-05-30,2022-06-13,150
18,쪽가위,2022-05-31,2022-06-13,147
19,쪽가위,2022-06-01,2022-06-13,124
20,쪽가위,2022-06-02,2022-06-13,142
21,쪽가위,2022-06-03,2022-06-13,132
22,쪽가위,2022-06-04,2022-06-13,108
23,쪽가위,2022-06-05,2022-06-13,93
24,쪽가위,2022-06-06,2022-06-13,123
25,쪽가위,2022-06-07,2022-06-13,171
26,쪽가위,2022-06-08,2022-06-13,171
27,쪽가위,2022-06-09,2022-06-13,160
28,쪽가위,2022-06-10,2022-06-13,154
29,쪽가위,2022-06-11,2022-06-13,130
30,쪽가위,2022-06-12,2022-06-13,128
0,소음재,2022-05-13,2022-06-13,16
1,소음재,2022-05-14,2022-06-13,0
2,소음재,2022-05-15,2022-06-13,0
3,소음재,2022-05-16,2022-06-13,0
4,소음재,2022-05-17,2022-06-13,0
5,소음재,2022-05-18,2022-06-13,0
6,소음재,2022-05-19,2022-06-13,0
7,소음재,2022-05-20,2022-06-13,0
8,소음재,2022-05-21,2022-06-13,0
9,소음재,2022-05-22,2022-06-13,0
10,소음재,2022-05-23,2022-06-13,0
11,소음재,2022-05-24,2022-06-13,0
12,소음재,2022-05-25,2022-06-13,0
13,소음재,2022-05-26,2022-06-13,0
14,소음재,2022-05-27,2022-06-13,0
15,소음재,2022-05-28,2022-06-13,0
16,소음재,2022-05-29,2022-06-13,0
17,소음재,2022-05-30,2022-06-13,0
18,소음재,2022-05-31,2022-06-13,0
19,소음재,2022-06-01,2022-06-13,0
20,소음재,2022-06-02,2022-06-13,33
21,소음재,2022-06-03,2022-06-13,0
22,소음재,2022-06-04,2022-06-13,0
23,소음재,2022-06-05,2022-06-13,0
24,소음재,2022-06-06,2022-06-13,0
25,소음재,2022-06-07,2022-06-13,0
26,소음재,2022-06-08,2022-06-13,0
27,소음재,2022-06-09,2022-06-13,0
28,소음재,2022-06-10,2022-06-13,0
29,소음재,2022-06-11,2022-06-13,0
30,소음재,2022-06-12,2022-06-13,0
0,모래멍,2022-05-13,2022-06-13,440
1,모래멍,2022-05-14,2022-06-13,304
2,모래멍,2022-05-15,2022-06-13,249
3,모래멍,2022-05-16,2022-06-13,386
4,모래멍,2022-05-17,2022-06-13,357
5,모래멍,2022-05-18,2022-06-13,346
6,모래멍,2022-05-19,2022-06-13,249
7,모래멍,2022-05-20,2022-06-13,250
8,모래멍,2022-05-21,2022-06-13,236
9,모래멍,2022-05-22,2022-06-13,187
10,모래멍,2022-05-23,2022-06-13,629
11,모래멍,2022-05-24,2022-06-13,744
12,모래멍,2022-05-25,2022-06-13,569
13,모래멍,2022-05-26,2022-06-13,845
14,모래멍,2022-05-27,2022-06-13,602
15,모래멍,2022-05-28,2022-06-13,633
16,모래멍,2022-05-29,2022-06-13,512
17,모래멍,2022-05-30,2022-06-13,423
18,모래멍,2022-05-31,2022-06-13,368
19,모래멍,2022-06-01,2022-06-13,353
20,모래멍,2022-06-02,2022-06-13,263
21,모래멍,2022-06-03,2022-06-13,217
22,모래멍,2022-06-04,2022-06-13,195
23,모래멍,2022-06-05,2022-06-13,192
24,모래멍,2022-06-06,2022-06-13,180
25,모래멍,2022-06-07,2022-06-13,238
26,모래멍,2022-06-08,2022-06-13,261
27,모래멍,2022-06-09,2022-06-13,281
28,모래멍,2022-06-10,2022-06-13,235
29,모래멍,2022-06-11,2022-06-13,229
30,모래멍,2022-06-12,2022-06-13,183
0,책상컴퓨터의자,2022-05-13,2022-06-13,407
1,책상컴퓨터의자,2022-05-14,2022-06-13,469
2,책상컴퓨터의자,2022-05-15,2022-06-13,395
3,책상컴퓨터의자,2022-05-16,2022-06-13,232
4,책상컴퓨터의자,2022-05-17,2022-06-13,76
5,책상컴퓨터의자,2022-05-18,2022-06-13,101
6,책상컴퓨터의자,2022-05-19,2022-06-13,100
7,책상컴퓨터의자,2022-05-20,2022-06-13,53
8,책상컴퓨터의자,2022-05-21,2022-06-13,0
9,책상컴퓨터의자,2022-05-22,2022-06-13,332
