,기간,김승민
200,2019-12-30,2.16347
201,2019-12-31,1.63478
202,2020-01-01,1.86434
203,2020-01-02,2.32347
204,2020-01-03,2.1426
205,2020-01-04,2.01739
206,2020-01-05,2.25391
207,2020-01-06,1.83652
208,2020-01-07,1.64173
209,2020-01-08,1.91999
210,2020-01-09,1.6626
211,2020-01-10,1.67652
212,2020-01-11,1.78086
213,2020-01-12,1.58608
214,2020-01-13,1.66956
215,2020-01-14,2.10086
216,2020-01-15,1.91304
217,2020-01-16,2.10782
218,2020-01-17,2.0313
219,2020-01-18,1.8226
220,2020-01-19,2.34434
221,2020-01-20,2.44869
222,2020-01-21,2.52521
223,2020-01-22,2.29565
224,2020-01-23,2.58782
225,2020-01-24,2.15652
226,2020-01-25,1.91304
227,2020-01-26,2.26782
228,2020-01-27,2.14956
229,2020-01-28,2.32347
230,2020-01-29,2.07304
231,2020-01-30,2.42086
232,2020-01-31,3.1026
233,2020-02-01,2.38608
234,2020-02-02,2.49739
235,2020-02-03,2.28869
236,2020-02-04,2.08695
237,2020-02-05,2.07304
238,2020-02-06,2.12173
239,2020-02-07,2.32347
240,2020-02-08,4.38956
241,2020-02-09,22.9913
242,2020-02-10,2.56
243,2020-02-11,2.13565
244,2020-02-12,2.01739
245,2020-02-13,2.28869
246,2020-02-14,2.17043
247,2020-02-15,1.99652
248,2020-02-16,2.22608
249,2020-02-17,1.8713
250,2020-02-18,1.78086
251,2020-02-19,4.34086
252,2020-02-20,1.82956
253,2020-02-21,2.21217
254,2020-02-22,1.69043
255,2020-02-23,1.76695
256,2020-02-24,2.10782
257,2020-02-25,1.78782
258,2020-02-26,2.42782
259,2020-02-27,2.49739
260,2020-02-28,2.13565
261,2020-02-29,2.25391
262,2020-03-01,1.85739
263,2020-03-02,1.9826
264,2020-03-03,1.80869
265,2020-03-04,1.97565
266,2020-03-05,1.7113
267,2020-03-06,2.0313
268,2020-03-07,2.28869
269,2020-03-08,2.28869
270,2020-03-09,4.45217
271,2020-03-10,2.17043
272,2020-03-11,2.00347
273,2020-03-12,2.12173
274,2020-03-13,3.52695
275,2020-03-14,2.81043
276,2020-03-15,2.24
277,2020-03-16,1.76
278,2020-03-17,2.66434
279,2020-03-18,2.42086
280,2020-03-19,3.00521
281,2020-03-20,5.8226
282,2020-03-21,8.2226
283,2020-03-22,6.20521
284,2020-03-23,5.62086
285,2020-03-24,5.71826
286,2020-03-25,4.84173
287,2020-03-26,3.7913
288,2020-03-27,3.77043
289,2020-03-28,4.19478
290,2020-03-29,4.3826
291,2020-03-30,3.84695
292,2020-03-31,4.16695
293,2020-04-01,3.74956
294,2020-04-02,3.60347
295,2020-04-03,3.2626
296,2020-04-04,4.46608
297,2020-04-05,4.34086
298,2020-04-06,3.16521
299,2020-04-07,6.9426
300,2020-04-08,5.44
301,2020-04-09,6.65739
302,2020-04-10,3.54086
303,2020-04-11,3.55478
304,2020-04-12,3.08869
305,2020-04-13,4.31304
306,2020-04-14,14.58086
307,2020-04-15,55.39478
308,2020-04-16,5.81565
309,2020-04-17,4.15304
310,2020-04-18,4.38956
311,2020-04-19,4.41739
312,2020-04-20,3.78434
313,2020-04-21,9.6626
314,2020-04-22,5.79478
315,2020-04-23,3.98608
316,2020-04-24,4.25739
317,2020-04-25,3.75652
318,2020-04-26,2.97739
319,2020-04-27,3.56869
320,2020-04-28,3.28347
321,2020-04-29,3.92347
322,2020-04-30,3.23478
323,2020-05-01,3.49913
324,2020-05-02,2.94956
325,2020-05-03,3.06086
326,2020-05-04,3.72869
327,2020-05-05,3.2
328,2020-05-06,3.36
329,2020-05-07,2.92173
330,2020-05-08,2.92869
331,2020-05-09,3.06782
332,2020-05-10,2.90086
333,2020-05-11,2.97043
334,2020-05-12,2.82434
335,2020-05-13,2.69913
336,2020-05-14,2.53217
337,2020-05-15,2.88
338,2020-05-16,2.60869
339,2020-05-17,2.67826
340,2020-05-18,2.79652
341,2020-05-19,6.54608
342,2020-05-20,3.45043
343,2020-05-21,2.66434
344,2020-05-22,2.69217
345,2020-05-23,2.78956
346,2020-05-24,2.69217
347,2020-05-25,2.6226
348,2020-05-26,2.39304
349,2020-05-27,2.52521
350,2020-05-28,2.23304
351,2020-05-29,2.28173
352,2020-05-30,2.48347
353,2020-05-31,2.58086
354,2020-06-01,2.28173
355,2020-06-02,2.68521
356,2020-06-03,2.39304
357,2020-06-04,2.39304
358,2020-06-05,2.42782
359,2020-06-06,2.44869
360,2020-06-07,2.20521
361,2020-06-08,2.33043
362,2020-06-09,3.35304
363,2020-06-10,2.74782
364,2020-06-11,2.21913
365,2020-06-12,2.53913
366,2020-06-13,2.25391
367,2020-06-14,2.01043
368,2020-06-15,1.95478
369,2020-06-16,3.72173
370,2020-06-17,3.1026
371,2020-06-18,3.40173
372,2020-06-19,9.2313
373,2020-06-20,5.36347
374,2020-06-21,4.02086
375,2020-06-22,6.05913
376,2020-06-23,5.10608
377,2020-06-24,3.67304
378,2020-06-25,3.89565
379,2020-06-26,2.98434
380,2020-06-27,2.78956
381,2020-06-28,2.60869
382,2020-06-29,2.54608
383,2020-06-30,2.28869
384,2020-07-01,1.96869
385,2020-07-02,2.38608
386,2020-07-03,2.12869
387,2020-07-04,1.81565
388,2020-07-05,2.28869
389,2020-07-06,2.43478
390,2020-07-07,3.13739
391,2020-07-08,2.69913
392,2020-07-09,1.85043
393,2020-07-10,1.95478
394,2020-07-11,1.95478
395,2020-07-12,2.78956
396,2020-07-13,1.85043
397,2020-07-14,2.65043
398,2020-07-15,1.99652
399,2020-07-16,2.33043
400,2020-07-17,2.17043
401,2020-07-18,2.0313
402,2020-07-19,2.42782
403,2020-07-20,1.88521
404,2020-07-21,2.10782
405,2020-07-22,1.94086
406,2020-07-23,1.65565
407,2020-07-24,2.06608
408,2020-07-25,1.93391
409,2020-07-26,1.97565
410,2020-07-27,1.96173
411,2020-07-28,2.44869
412,2020-07-29,2.1426
413,2020-07-30,2.26782
414,2020-07-31,2.29565
415,2020-08-01,2.04521
416,2020-08-02,2.10782
417,2020-08-03,2.28869
418,2020-08-04,2.63652
419,2020-08-05,2.46956
420,2020-08-06,2.15652
421,2020-08-07,2.62956
422,2020-08-08,2.73391
423,2020-08-09,2.91478
424,2020-08-10,2.69217
425,2020-08-11,2.74086
426,2020-08-12,2.33043
427,2020-08-13,2.53913
428,2020-08-14,2.50434
429,2020-08-15,2.14956
430,2020-08-16,2.42782
431,2020-08-17,2.76173
432,2020-08-18,2.90782
433,2020-08-19,2.42086
434,2020-08-20,2.60869
435,2020-08-21,3.2
436,2020-08-22,2.81043
437,2020-08-23,3.01913
438,2020-08-24,2.24
439,2020-08-25,2.3026
440,2020-08-26,2.36521
441,2020-08-27,2.39304
442,2020-08-28,2.10782
443,2020-08-29,2.62956
444,2020-08-30,2.44869
445,2020-08-31,3.04
446,2020-09-01,3.14434
447,2020-09-02,2.72
448,2020-09-03,2.60173
449,2020-09-04,2.57391
450,2020-09-05,3.01913
451,2020-09-06,2.82434
452,2020-09-07,2.65739
453,2020-09-08,2.36521
454,2020-09-09,2.28869
455,2020-09-10,2.23304
456,2020-09-11,2.44173
457,2020-09-12,2.40695
458,2020-09-13,2.78956
459,2020-09-14,2.92173
460,2020-09-15,2.81739
461,2020-09-16,2.39304
462,2020-09-17,2.21217
463,2020-09-18,2.44173
464,2020-09-19,2.24
465,2020-09-20,2.24
466,2020-09-21,2.34434
467,2020-09-22,2.93565
468,2020-09-23,2.42086
469,2020-09-24,2.07304
470,2020-09-25,2.13565
471,2020-09-26,2.28869
472,2020-09-27,2.88
473,2020-09-28,2.29565
474,2020-09-29,2.3513
475,2020-09-30,2.22608
476,2020-10-01,2.09391
477,2020-10-02,2.97739
478,2020-10-03,2.90782
479,2020-10-04,2.54608
480,2020-10-05,2.47652
481,2020-10-06,3.43652
482,2020-10-07,4.96695
483,2020-10-08,5.68347
484,2020-10-09,3.53391
485,2020-10-10,3.31826
486,2020-10-11,3.82608
487,2020-10-12,3.86782
488,2020-10-13,3.07478
489,2020-10-14,3.13043
490,2020-10-15,3.16521
491,2020-10-16,3.62434
492,2020-10-17,4.38956
493,2020-10-18,4.01391
494,2020-10-19,4.38956
495,2020-10-20,3.88173
496,2020-10-21,4.42434
497,2020-10-22,3.61739
498,2020-10-23,3.53391
499,2020-10-24,6.24695
500,2020-10-25,5.92
501,2020-10-26,6.6226
502,2020-10-27,6.85217
503,2020-10-28,6.39304
504,2020-10-29,5.91304
505,2020-10-30,4.89043
506,2020-10-31,5.15478
507,2020-11-01,4.57739
508,2020-11-02,4.20869
509,2020-11-03,3.86782
510,2020-11-04,3.88869
511,2020-11-05,4.01391
512,2020-11-06,3.72869
513,2020-11-07,5.57217
514,2020-11-08,5.61391
515,2020-11-09,4.43826
516,2020-11-10,4.21565
517,2020-11-11,3.72869
518,2020-11-12,3.89565
519,2020-11-13,3.97217
520,2020-11-14,3.88173
521,2020-11-15,4.18086
522,2020-11-16,3.84695
523,2020-11-17,3.54782
524,2020-11-18,3.00521
525,2020-11-19,3.01913
526,2020-11-20,3.48521
527,2020-11-21,4.73043
528,2020-11-22,4.20173
529,2020-11-23,3.7426
530,2020-11-24,3.53391
531,2020-11-25,3.31826
532,2020-11-26,3.77043
533,2020-11-27,3.47826
534,2020-11-28,3.49913
535,2020-11-29,3.48521
536,2020-11-30,3.4713
537,2020-12-01,3.66608
538,2020-12-02,3.13739
539,2020-12-03,2.8313
540,2020-12-04,3.23478
541,2020-12-05,3.80521
542,2020-12-06,3.34608
543,2020-12-07,3.32521
544,2020-12-08,3.14434
545,2020-12-09,3.05391
546,2020-12-10,2.92173
547,2020-12-11,2.87304
548,2020-12-12,3.29739
549,2020-12-13,3.04695
550,2020-12-14,3.1026
551,2020-12-15,2.61565
552,2020-12-16,3.77043
553,2020-12-17,2.9913
554,2020-12-18,2.56
555,2020-12-19,6.76173
556,2020-12-20,3.51304
557,2020-12-21,3.39478
558,2020-12-22,3.17217
559,2020-12-23,3.01913
560,2020-12-24,2.77565
561,2020-12-25,2.90086
562,2020-12-26,3.22782
563,2020-12-27,3.28347
564,2020-12-28,3.63826
565,2020-12-29,3.51304
566,2020-12-30,3.36
567,2020-12-31,3.44347
568,2021-01-01,4.73739
569,2021-01-02,3.77739
570,2021-01-03,3.14434
571,2021-01-04,3.40173
572,2021-01-05,3.05391
573,2021-01-06,3.14434
574,2021-01-07,3.32521
575,2021-01-08,3.1026
576,2021-01-09,2.46956
577,2021-01-10,2.6226
578,2021-01-11,2.85913
579,2021-01-12,3.26956
580,2021-01-13,2.74086
581,2021-01-14,4.06956
582,2021-01-15,5.61391
583,2021-01-16,4.85565
584,2021-01-17,3.73565
585,2021-01-18,8.60521
586,2021-01-19,3.59652
587,2021-01-20,3.88173
588,2021-01-21,3.43652
589,2021-01-22,3.22782
590,2021-01-23,2.95652
591,2021-01-24,3.27652
592,2021-01-25,3.08173
593,2021-01-26,2.9426
594,2021-01-27,2.83826
595,2021-01-28,3.03304
596,2021-01-29,5.01565
597,2021-01-30,36.50782
598,2021-01-31,48.5426
599,2021-02-01,13.64869
600,2021-02-02,5.83652
601,2021-02-03,6.9426
602,2021-02-04,3.78434
603,2021-02-05,3.51304
604,2021-02-06,2.90086
605,2021-02-07,3.08869
606,2021-02-08,2.92173
607,2021-02-09,2.77565
608,2021-02-10,2.61565
609,2021-02-11,2.43478
610,2021-02-12,3.37391
611,2021-02-13,3.1513
612,2021-02-14,3.81913
613,2021-02-15,4.61217
614,2021-02-16,3.64521
615,2021-02-17,3.24869
616,2021-02-18,2.65739
617,2021-02-19,3.13739
618,2021-02-20,4.06956
619,2021-02-21,3.30434
620,2021-02-22,2.61565
621,2021-02-23,2.69913
622,2021-02-24,2.87304
623,2021-02-25,3.01913
624,2021-02-26,4.67478
625,2021-02-27,3.06782
626,2021-02-28,2.85217
627,2021-03-01,2.64347
628,2021-03-02,2.53217
629,2021-03-03,2.37217
630,2021-03-04,3.49913
631,2021-03-05,2.41391
632,2021-03-06,2.22608
633,2021-03-07,2.3026
634,2021-03-08,2.25391
635,2021-03-09,2.06608
636,2021-03-10,2.10782
637,2021-03-11,1.83652
638,2021-03-12,2.17739
639,2021-03-13,2.28173
640,2021-03-14,2.35826
641,2021-03-15,2.10782
642,2021-03-16,2.13565
643,2021-03-17,2.28869
644,2021-03-18,2.01739
645,2021-03-19,2.12869
646,2021-03-20,2.26086
647,2021-03-21,2.35826
648,2021-03-22,1.93391
649,2021-03-23,2.11478
650,2021-03-24,2.39304
651,2021-03-25,1.94782
652,2021-03-26,2.01739
653,2021-03-27,2.28173
654,2021-03-28,2.69217
655,2021-03-29,2.38608
656,2021-03-30,2.43478
657,2021-03-31,1.85739
658,2021-04-01,2.24
659,2021-04-02,2.60173
660,2021-04-03,2.26086
661,2021-04-04,3.44347
662,2021-04-05,2.57391
663,2021-04-06,2.24695
664,2021-04-07,2.16347
665,2021-04-08,2.44173
666,2021-04-09,2.10782
667,2021-04-10,2.28869
668,2021-04-11,2.17739
669,2021-04-12,25.90608
670,2021-04-13,3.56869
671,2021-04-14,2.55304
672,2021-04-15,2.15652
673,2021-04-16,2.12869
674,2021-04-17,2.12173
675,2021-04-18,2.46956
676,2021-04-19,2.69913
677,2021-04-20,2.01043
678,2021-04-21,2.12173
679,2021-04-22,2.20521
680,2021-04-23,2.50434
681,2021-04-24,2.56695
682,2021-04-25,2.18434
683,2021-04-26,2.78956
684,2021-04-27,2.37913
685,2021-04-28,2.37217
686,2021-04-29,2.10782
687,2021-04-30,2.65739
688,2021-05-01,2.48347
689,2021-05-02,2.76869
690,2021-05-03,2.32347
691,2021-05-04,1.9826
692,2021-05-05,2.44869
693,2021-05-06,2.34434
694,2021-05-07,2.45565
695,2021-05-08,2.21217
696,2021-05-09,2.48347
697,2021-05-10,2.24
698,2021-05-11,5.41913
699,2021-05-12,3.83304
700,2021-05-13,2.92869
701,2021-05-14,2.48347
702,2021-05-15,2.72695
703,2021-05-16,3.1026
704,2021-05-17,3.54782
705,2021-05-18,3.02608
706,2021-05-19,2.6713
707,2021-05-20,3.10956
708,2021-05-21,3.05391
709,2021-05-22,2.9426
710,2021-05-23,2.87304
711,2021-05-24,2.92173
712,2021-05-25,2.6713
713,2021-05-26,2.6713
714,2021-05-27,3.1026
715,2021-05-28,2.17739
716,2021-05-29,2.53913
717,2021-05-30,3.09565
718,2021-05-31,2.40695
719,2021-06-01,2.39304
720,2021-06-02,2.33043
721,2021-06-03,2.9913
722,2021-06-04,2.24695
723,2021-06-05,2.43478
724,2021-06-06,4.2713
725,2021-06-07,5.94086
726,2021-06-08,3.65913
727,2021-06-09,3.56173
728,2021-06-10,3.13739
729,2021-06-11,3.04
730,2021-06-12,2.91478
731,2021-06-13,3.10956
732,2021-06-14,2.41391
733,2021-06-15,2.58086
734,2021-06-16,2.72
735,2021-06-17,2.59478
736,2021-06-18,2.44173
737,2021-06-19,2.30956
738,2021-06-20,2.58782
739,2021-06-21,2.46956
740,2021-06-22,2.32347
741,2021-06-23,2.56
742,2021-06-24,2.81739
743,2021-06-25,2.31652
744,2021-06-26,2.68521
745,2021-06-27,2.74782
746,2021-06-28,2.41391
747,2021-06-29,2.6226
748,2021-06-30,1.96869
749,2021-07-01,2.08
750,2021-07-02,1.99652
751,2021-07-03,2.33043
752,2021-07-04,3.13043
753,2021-07-05,2.46956
754,2021-07-06,2.37913
755,2021-07-07,2.34434
756,2021-07-08,3.59652
757,2021-07-09,3.45739
758,2021-07-10,5.55826
759,2021-07-11,5.5513
760,2021-07-12,3.44347
761,2021-07-13,4.41043
762,2021-07-14,4.1113
763,2021-07-15,3.06086
764,2021-07-16,2.86608
765,2021-07-17,3.29739
766,2021-07-18,3.38782
767,2021-07-19,3.08869
768,2021-07-20,2.89391
769,2021-07-21,3.05391
770,2021-07-22,3.00521
771,2021-07-23,3.20695
772,2021-07-24,2.90782
773,2021-07-25,2.49043
774,2021-07-26,2.24
775,2021-07-27,2.24
776,2021-07-28,2.61565
777,2021-07-29,2.33739
778,2021-07-30,2.3513
779,2021-07-31,2.37913
780,2021-08-01,4.91826
781,2021-08-02,2.97739
782,2021-08-03,2.87304
783,2021-08-04,2.6713
784,2021-08-05,2.65739
785,2021-08-06,2.74782
786,2021-08-07,2.92869
787,2021-08-08,2.81043
788,2021-08-09,2.91478
789,2021-08-10,2.67826
790,2021-08-11,2.47652
791,2021-08-12,2.62956
792,2021-08-13,3.00521
793,2021-08-14,2.55304
794,2021-08-15,2.92869
795,2021-08-16,2.85913
796,2021-08-17,2.45565
797,2021-08-18,2.85913
798,2021-08-19,2.84521
799,2021-08-20,2.36521
800,2021-08-21,2.6713
801,2021-08-22,2.97739
802,2021-08-23,3.04
803,2021-08-24,2.84521
804,2021-08-25,2.69913
805,2021-08-26,2.72
806,2021-08-27,2.62956
807,2021-08-28,2.33739
808,2021-08-29,2.72
809,2021-08-30,2.6226
810,2021-08-31,2.53217
811,2021-09-01,2.92869
812,2021-09-02,2.96347
813,2021-09-03,2.69913
814,2021-09-04,2.47652
815,2021-09-05,2.5113
816,2021-09-06,2.35826
817,2021-09-07,2.15652
818,2021-09-08,2.38608
819,2021-09-09,2.3513
820,2021-09-10,2.49043
821,2021-09-11,2.19826
822,2021-09-12,2.30956
823,2021-09-13,2.27478
824,2021-09-14,3.36
825,2021-09-15,2.41391
826,2021-09-16,2.38608
827,2021-09-17,2.21217
828,2021-09-18,2.1426
829,2021-09-19,2.52521
