,기간,손석구
228,2020-01-27,0.20881
229,2020-01-28,0.13696
230,2020-01-29,0.12352
231,2020-01-30,0.1201
232,2020-01-31,0.13648
233,2020-02-01,0.12661
234,2020-02-02,0.12905
235,2020-02-03,0.10535
236,2020-02-04,0.10362
237,2020-02-05,0.12981
238,2020-02-06,0.10714
239,2020-02-07,0.13734
240,2020-02-08,0.1304
241,2020-02-09,0.12151
242,2020-02-10,0.11744
243,2020-02-11,0.11094
244,2020-02-12,0.11126
245,2020-02-13,0.10557
246,2020-02-14,0.11544
247,2020-02-15,0.15816
248,2020-02-16,0.14374
249,2020-02-17,0.11831
250,2020-02-18,0.10633
251,2020-02-19,0.27274
252,2020-02-20,0.22811
253,2020-02-21,0.14868
254,2020-02-22,0.17074
255,2020-02-23,0.24471
256,2020-02-24,0.18544
257,2020-02-25,0.12465
258,2020-02-26,0.22128
259,2020-02-27,0.18468
260,2020-02-28,0.16559
261,2020-02-29,0.14678
262,2020-03-01,0.17346
263,2020-03-02,0.12596
264,2020-03-03,0.13816
265,2020-03-04,0.16153
266,2020-03-05,0.1606
267,2020-03-06,0.12211
268,2020-03-07,0.1349
269,2020-03-08,0.15052
270,2020-03-09,0.12558
271,2020-03-10,0.12558
272,2020-03-11,0.13089
273,2020-03-12,0.1285
274,2020-03-13,0.13019
275,2020-03-14,0.15139
276,2020-03-15,0.15779
277,2020-03-16,0.14607
278,2020-03-17,0.13745
279,2020-03-18,0.12086
280,2020-03-19,0.12829
281,2020-03-20,0.12829
282,2020-03-21,0.13425
283,2020-03-22,0.13555
284,2020-03-23,0.12216
285,2020-03-24,0.11685
286,2020-03-25,0.13745
287,2020-03-26,0.18999
288,2020-03-27,0.13957
289,2020-03-28,0.13035
290,2020-03-29,0.13702
291,2020-03-30,0.14011
292,2020-03-31,0.11104
293,2020-04-01,0.1066
294,2020-04-02,0.09673
295,2020-04-03,0.10193
296,2020-04-04,0.10524
297,2020-04-05,0.13181
298,2020-04-06,0.15936
299,2020-04-07,0.1195
300,2020-04-08,0.10649
301,2020-04-09,0.14607
302,2020-04-10,0.11338
303,2020-04-11,0.12422
304,2020-04-12,0.13311
305,2020-04-13,0.12173
306,2020-04-14,0.11235
307,2020-04-15,0.11148
308,2020-04-16,0.09413
309,2020-04-17,0.09478
310,2020-04-18,0.11294
311,2020-04-19,0.17817
312,2020-04-20,0.12899
313,2020-04-21,0.1163
314,2020-04-22,0.0919
315,2020-04-23,0.08626
316,2020-04-24,0.09348
317,2020-04-25,0.10031
318,2020-04-26,0.15507
319,2020-04-27,0.09136
320,2020-04-28,0.08388
321,2020-04-29,0.09461
322,2020-04-30,0.08448
323,2020-05-01,0.07743
324,2020-05-02,0.07797
325,2020-05-03,0.09798
326,2020-05-04,0.07444
327,2020-05-05,0.12487
328,2020-05-06,0.06946
329,2020-05-07,0.06712
330,2020-05-08,0.0662
331,2020-05-09,0.07298
332,2020-05-10,0.07873
333,2020-05-11,0.09846
334,2020-05-12,0.06891
335,2020-05-13,0.06398
336,2020-05-14,0.06908
337,2020-05-15,0.07688
338,2020-05-16,0.06886
339,2020-05-17,0.07363
340,2020-05-18,0.06658
341,2020-05-19,0.0713
342,2020-05-20,0.10595
343,2020-05-21,0.09581
344,2020-05-22,0.40992
345,2020-05-23,0.24471
346,2020-05-24,0.15773
347,2020-05-25,0.11739
348,2020-05-26,0.12579
349,2020-05-27,0.08491
350,2020-05-28,0.07894
351,2020-05-29,0.0752
352,2020-05-30,0.07049
353,2020-05-31,0.64921
354,2020-06-01,0.06783
355,2020-06-02,0.06425
356,2020-06-03,0.06897
357,2020-06-04,0.07509
358,2020-06-05,0.07743
359,2020-06-06,0.07721
360,2020-06-07,0.08198
361,2020-06-08,0.07336
362,2020-06-09,0.06853
363,2020-06-10,0.07656
364,2020-06-11,0.07038
365,2020-06-12,0.09852
366,2020-06-13,0.07368
367,2020-06-14,0.07406
368,2020-06-15,0.07097
369,2020-06-16,0.05975
370,2020-06-17,0.06007
371,2020-06-18,0.05942
372,2020-06-19,0.06891
373,2020-06-20,0.07363
374,2020-06-21,0.06842
375,2020-06-22,0.06051
376,2020-06-23,0.05557
377,2020-06-24,0.17839
378,2020-06-25,0.15768
379,2020-06-26,0.06837
380,2020-06-27,0.09098
381,2020-06-28,0.07797
382,2020-06-29,0.06463
383,2020-06-30,0.06767
384,2020-07-01,0.06279
385,2020-07-02,0.05948
386,2020-07-03,0.05064
387,2020-07-04,0.05476
388,2020-07-05,0.0533
389,2020-07-06,0.05059
390,2020-07-07,0.06024
391,2020-07-08,0.05704
392,2020-07-09,0.06083
393,2020-07-10,0.07352
394,2020-07-11,0.06035
395,2020-07-12,0.06197
396,2020-07-13,0.06458
397,2020-07-14,0.06479
398,2020-07-15,0.0643
399,2020-07-16,0.05579
400,2020-07-17,0.05769
401,2020-07-18,0.0611
402,2020-07-19,0.06674
403,2020-07-20,0.06176
404,2020-07-21,0.05113
405,2020-07-22,0.08415
406,2020-07-23,0.05866
407,2020-07-24,0.05644
408,2020-07-25,0.13311
409,2020-07-26,0.05899
410,2020-07-27,0.05227
411,2020-07-28,0.05807
412,2020-07-29,0.05807
413,2020-07-30,0.05481
414,2020-07-31,0.04977
415,2020-08-01,0.054
416,2020-08-02,0.05682
417,2020-08-03,0.05454
418,2020-08-04,0.05129
419,2020-08-05,0.04977
420,2020-08-06,0.05899
421,2020-08-07,0.06729
422,2020-08-08,0.06186
423,2020-08-09,0.06517
424,2020-08-10,0.07764
425,2020-08-11,0.05823
426,2020-08-12,0.05671
427,2020-08-13,0.05292
428,2020-08-14,0.05547
429,2020-08-15,0.06604
430,2020-08-16,0.06994
431,2020-08-17,0.06588
432,2020-08-18,0.13512
433,2020-08-19,0.08464
434,2020-08-20,0.05969
435,2020-08-21,0.06832
436,2020-08-22,0.10779
437,2020-08-23,0.07016
438,2020-08-24,0.10774
439,2020-08-25,0.08599
440,2020-08-26,0.06349
441,2020-08-27,0.06772
442,2020-08-28,0.06772
443,2020-08-29,0.07379
444,2020-08-30,0.08599
445,2020-08-31,0.07184
446,2020-09-01,0.06598
447,2020-09-02,0.08008
448,2020-09-03,0.10627
449,2020-09-04,0.06973
450,2020-09-05,0.07602
451,2020-09-06,0.08757
452,2020-09-07,0.08063
453,2020-09-08,0.07179
454,2020-09-09,0.05899
455,2020-09-10,0.06691
456,2020-09-11,0.0854
457,2020-09-12,0.07922
458,2020-09-13,0.77604
459,2020-09-14,0.48454
460,2020-09-15,0.22551
461,2020-09-16,0.11289
462,2020-09-17,0.09369
463,2020-09-18,0.10725
464,2020-09-19,0.08588
465,2020-09-20,0.08551
466,2020-09-21,0.07217
467,2020-09-22,0.06767
468,2020-09-23,0.07005
469,2020-09-24,0.0688
470,2020-09-25,0.0668
471,2020-09-26,0.06691
472,2020-09-27,0.08605
473,2020-09-28,0.05303
474,2020-09-29,0.05585
475,2020-09-30,0.05823
476,2020-10-01,0.07379
477,2020-10-02,0.12167
478,2020-10-03,0.06946
479,2020-10-04,0.07927
480,2020-10-05,0.06121
481,2020-10-06,0.05579
482,2020-10-07,0.06685
483,2020-10-08,0.05557
484,2020-10-09,0.0675
485,2020-10-10,0.06501
486,2020-10-11,0.06192
487,2020-10-12,0.04896
488,2020-10-13,0.0476
489,2020-10-14,0.05872
490,2020-10-15,0.05015
491,2020-10-16,0.06376
