,기간,우크라이나
228,2020-01-27,0.09657
229,2020-01-28,0.09407
230,2020-01-29,0.08477
231,2020-01-30,0.0797
232,2020-01-31,0.07627
233,2020-02-01,0.06809
234,2020-02-02,0.07752
235,2020-02-03,0.08411
236,2020-02-04,0.0853
237,2020-02-05,0.07825
238,2020-02-06,0.07897
239,2020-02-07,0.07198
240,2020-02-08,0.07798
241,2020-02-09,0.07225
242,2020-02-10,0.06981
243,2020-02-11,0.07192
244,2020-02-12,0.07963
245,2020-02-13,0.07264
246,2020-02-14,0.06948
247,2020-02-15,0.08464
248,2020-02-16,0.09881
249,2020-02-17,0.08352
250,2020-02-18,0.15267
251,2020-02-19,0.08741
252,2020-02-20,0.08227
253,2020-02-21,0.08101
254,2020-02-22,0.0909
255,2020-02-23,0.07528
256,2020-02-24,0.07244
257,2020-02-25,0.08022
258,2020-02-26,0.06875
259,2020-02-27,0.07284
260,2020-02-28,0.07844
261,2020-02-29,0.06757
262,2020-03-01,0.07152
263,2020-03-02,0.07264
264,2020-03-03,0.07825
265,2020-03-04,0.07904
266,2020-03-05,0.07607
267,2020-03-06,0.12815
268,2020-03-07,0.1087
269,2020-03-08,0.11681
270,2020-03-09,0.11094
271,2020-03-10,0.10396
272,2020-03-11,0.10013
273,2020-03-12,0.09466
274,2020-03-13,0.08332
275,2020-03-14,0.08899
276,2020-03-15,0.08273
277,2020-03-16,0.09532
278,2020-03-17,0.09446
279,2020-03-18,0.08484
280,2020-03-19,0.09143
281,2020-03-20,0.07897
282,2020-03-21,0.07521
283,2020-03-22,0.08728
284,2020-03-23,0.09598
285,2020-03-24,0.09815
286,2020-03-25,0.10316
287,2020-03-26,0.10936
288,2020-03-27,0.12413
289,2020-03-28,0.08892
290,2020-03-29,0.09934
291,2020-03-30,0.09624
292,2020-03-31,0.088
293,2020-04-01,0.08721
294,2020-04-02,0.07831
295,2020-04-03,0.07811
296,2020-04-04,0.07363
297,2020-04-05,0.07745
298,2020-04-06,0.09328
299,2020-04-07,0.0795
300,2020-04-08,0.10349
301,2020-04-09,0.0942
302,2020-04-10,0.09888
303,2020-04-11,0.10336
304,2020-04-12,0.0878
305,2020-04-13,0.0907
306,2020-04-14,0.09684
307,2020-04-15,0.08372
308,2020-04-16,0.08299
309,2020-04-17,0.08213
310,2020-04-18,0.08187
311,2020-04-19,0.08629
312,2020-04-20,0.09697
313,2020-04-21,0.09202
314,2020-04-22,0.07838
315,2020-04-23,0.07897
316,2020-04-24,0.07785
317,2020-04-25,0.07732
318,2020-04-26,0.09644
319,2020-04-27,0.09057
320,2020-04-28,0.09183
321,2020-04-29,0.07877
322,2020-04-30,0.08642
323,2020-05-01,0.07897
324,2020-05-02,0.08174
325,2020-05-03,0.08148
326,2020-05-04,0.0797
327,2020-05-05,0.07785
328,2020-05-06,0.07389
329,2020-05-07,0.06908
330,2020-05-08,0.06104
331,2020-05-09,0.06394
332,2020-05-10,0.0824
333,2020-05-11,0.09354
334,2020-05-12,0.07396
335,2020-05-13,0.07027
336,2020-05-14,0.07198
337,2020-05-15,0.07429
338,2020-05-16,0.0615
339,2020-05-17,0.06414
340,2020-05-18,0.0733
341,2020-05-19,0.06849
342,2020-05-20,0.06302
343,2020-05-21,0.06757
344,2020-05-22,0.06592
345,2020-05-23,0.09703
346,2020-05-24,0.10204
347,2020-05-25,0.08649
348,2020-05-26,0.08253
349,2020-05-27,0.0853
350,2020-05-28,0.08082
351,2020-05-29,0.06368
352,2020-05-30,0.0673
353,2020-05-31,0.09473
354,2020-06-01,0.0851
355,2020-06-02,0.07798
356,2020-06-03,0.0766
357,2020-06-04,0.07811
358,2020-06-05,0.07956
359,2020-06-06,0.07251
360,2020-06-07,0.0791
361,2020-06-08,0.07541
362,2020-06-09,0.08003
363,2020-06-10,0.08029
364,2020-06-11,0.09848
365,2020-06-12,0.07844
366,2020-06-13,0.08655
367,2020-06-14,0.07673
368,2020-06-15,0.07396
369,2020-06-16,0.0793
370,2020-06-17,0.08213
371,2020-06-18,0.08108
372,2020-06-19,0.07251
373,2020-06-20,0.07495
374,2020-06-21,0.07956
375,2020-06-22,0.07976
376,2020-06-23,0.08022
377,2020-06-24,0.07607
378,2020-06-25,0.08141
379,2020-06-26,0.06638
