,기간,범죄도시2
227,2020-01-26,0.11084
228,2020-01-27,0.08712
229,2020-01-28,0.05654
230,2020-01-29,0.0589
231,2020-01-30,0.0426
232,2020-01-31,0.04305
233,2020-02-01,0.03968
234,2020-02-02,0.04631
235,2020-02-03,0.03237
236,2020-02-04,0.03057
237,2020-02-05,0.029
238,2020-02-06,0.03181
239,2020-02-07,0.03069
240,2020-02-08,0.03507
241,2020-02-09,0.03934
242,2020-02-10,0.03518
243,2020-02-11,0.04699
244,2020-02-12,0.04215
245,2020-02-13,0.03811
246,2020-02-14,0.03811
247,2020-02-15,0.1792
248,2020-02-16,0.03507
249,2020-02-17,0.04002
250,2020-02-18,0.04969
251,2020-02-19,0.24384
252,2020-02-20,0.28431
253,2020-02-21,0.08611
254,2020-02-22,0.09061
255,2020-02-23,0.05868
256,2020-02-24,0.05126
257,2020-02-25,0.05722
258,2020-02-26,0.66835
259,2020-02-27,0.30455
260,2020-02-28,0.09095
261,2020-02-29,0.06756
262,2020-03-01,0.05699
263,2020-03-02,0.08847
264,2020-03-03,0.16964
265,2020-03-04,0.51602
266,2020-03-05,0.26408
267,2020-03-06,0.0688
268,2020-03-07,0.14581
269,2020-03-08,0.08476
270,2020-03-09,0.07476
271,2020-03-10,0.06228
272,2020-03-11,0.05756
273,2020-03-12,0.05801
274,2020-03-13,0.05126
275,2020-03-14,0.05542
276,2020-03-15,0.18572
277,2020-03-16,0.14423
278,2020-03-17,0.05508
279,2020-03-18,0.04789
280,2020-03-19,0.05328
281,2020-03-20,0.10938
282,2020-03-21,0.11343
283,2020-03-22,0.08364
284,2020-03-23,0.06824
285,2020-03-24,0.05969
286,2020-03-25,0.12029
287,2020-03-26,0.17774
288,2020-03-27,0.14232
289,2020-03-28,0.08622
290,2020-03-29,0.06835
291,2020-03-30,0.07689
292,2020-03-31,0.05531
293,2020-04-01,0.05924
294,2020-04-02,0.06869
295,2020-04-03,0.06295
296,2020-04-04,0.06846
297,2020-04-05,0.0815
298,2020-04-06,0.19291
299,2020-04-07,0.13996
300,2020-04-08,0.06576
301,2020-04-09,0.06824
302,2020-04-10,0.12096
303,2020-04-11,0.0589
304,2020-04-12,0.05902
305,2020-04-13,0.05531
306,2020-04-14,0.05283
307,2020-04-15,0.03901
308,2020-04-16,0.03923
309,2020-04-17,0.06104
310,2020-04-18,0.06194
311,2020-04-19,0.06318
312,2020-04-20,0.0489
313,2020-04-21,0.048
314,2020-04-22,0.05126
315,2020-04-23,0.0453
316,2020-04-24,0.14828
317,2020-04-25,0.06565
318,2020-04-26,4.21745
319,2020-04-27,0.27397
320,2020-04-28,0.18482
321,2020-04-29,0.17796
322,2020-04-30,0.14345
323,2020-05-01,0.11624
324,2020-05-02,0.0969
325,2020-05-03,0.28757
326,2020-05-04,0.15952
327,2020-05-05,1.61957
328,2020-05-06,0.15862
329,2020-05-07,0.11366
330,2020-05-08,0.0851
331,2020-05-09,0.09072
332,2020-05-10,0.1014
333,2020-05-11,0.08971
334,2020-05-12,0.09229
335,2020-05-13,0.08285
336,2020-05-14,0.0824
337,2020-05-15,0.09218
338,2020-05-16,0.09083
339,2020-05-17,0.08128
340,2020-05-18,0.09376
341,2020-05-19,0.26498
342,2020-05-20,0.85734
343,2020-05-21,0.67206
344,2020-05-22,1.17471
345,2020-05-23,0.54188
346,2020-05-24,0.32198
347,2020-05-25,0.36919
348,2020-05-26,0.83811
349,2020-05-27,0.42833
350,2020-05-28,0.29927
351,2020-05-29,0.23811
352,2020-05-30,0.18875
353,2020-05-31,11.73679
354,2020-06-01,0.17526
355,2020-06-02,0.12647
356,2020-06-03,0.15941
357,2020-06-04,0.19359
358,2020-06-05,0.12501
359,2020-06-06,0.12973
360,2020-06-07,0.19404
361,2020-06-08,0.14648
362,2020-06-09,0.15705
363,2020-06-10,0.16188
364,2020-06-11,0.13951
365,2020-06-12,0.0978
366,2020-06-13,0.0905
367,2020-06-14,0.09263
368,2020-06-15,0.07656
369,2020-06-16,0.07554
370,2020-06-17,0.08195
371,2020-06-18,0.07701
372,2020-06-19,0.07296
373,2020-06-20,0.18977
374,2020-06-21,0.07442
375,2020-06-22,0.06217
376,2020-06-23,0.0507
377,2020-06-24,5.19048
378,2020-06-25,3.64555
379,2020-06-26,0.29691
380,2020-06-27,1.39382
381,2020-06-28,0.37313
382,2020-06-29,0.21652
383,2020-06-30,0.18246
384,2020-07-01,0.31557
385,2020-07-02,0.16323
386,2020-07-03,0.12197
387,2020-07-04,0.12805
388,2020-07-05,0.10365
389,2020-07-06,0.09117
390,2020-07-07,0.08948
391,2020-07-08,0.11231
392,2020-07-09,0.28847
393,2020-07-10,0.22181
394,2020-07-11,0.08116
395,2020-07-12,0.09702
396,2020-07-13,0.08004
397,2020-07-14,0.0815
398,2020-07-15,0.09589
399,2020-07-16,0.09331
400,2020-07-17,0.08881
401,2020-07-18,0.10893
402,2020-07-19,0.13648
403,2020-07-20,0.15177
404,2020-07-21,0.13018
405,2020-07-22,0.13513
406,2020-07-23,0.1557
407,2020-07-24,0.12872
408,2020-07-25,1.91873
409,2020-07-26,0.14446
410,2020-07-27,0.09083
411,2020-07-28,0.09083
412,2020-07-29,0.09735
413,2020-07-30,0.08667
414,2020-07-31,0.08487
415,2020-08-01,0.09803
416,2020-08-02,0.10837
417,2020-08-03,0.09544
418,2020-08-04,0.0842
419,2020-08-05,0.07835
420,2020-08-06,0.08577
421,2020-08-07,0.07948
422,2020-08-08,0.11377
423,2020-08-09,0.09398
424,2020-08-10,0.0896
425,2020-08-11,0.0815
426,2020-08-12,0.09432
427,2020-08-13,0.07408
428,2020-08-14,0.10635
429,2020-08-15,0.09589
430,2020-08-16,0.09724
431,2020-08-17,0.11264
432,2020-08-18,0.9176
433,2020-08-19,0.11523
434,2020-08-20,0.09342
435,2020-08-21,0.07453
436,2020-08-22,0.08532
437,2020-08-23,0.11141
438,2020-08-24,0.07667
439,2020-08-25,0.07745
440,2020-08-26,0.07892
441,2020-08-27,0.07768
442,2020-08-28,0.07588
443,2020-08-29,0.08645
444,2020-08-30,0.09353
445,2020-08-31,0.08499
446,2020-09-01,0.08128
447,2020-09-02,0.09825
448,2020-09-03,0.09792
449,2020-09-04,0.10466
450,2020-09-05,0.25576
451,2020-09-06,0.20135
