,기간,손흥민
228,2020-01-27,1.84409
229,2020-01-28,1.68175
230,2020-01-29,1.53328
231,2020-01-30,1.62778
232,2020-01-31,1.53494
233,2020-02-01,1.47475
234,2020-02-02,1.7757
235,2020-02-03,13.54892
236,2020-02-04,2.89326
237,2020-02-05,2.22174
238,2020-02-06,9.6217
239,2020-02-07,2.57999
240,2020-02-08,2.18188
241,2020-02-09,2.02164
242,2020-02-10,1.74305
243,2020-02-11,1.98215
244,2020-02-12,1.79049
245,2020-02-13,1.54732
246,2020-02-14,1.60345
247,2020-02-15,1.95837
248,2020-02-16,4.02024
249,2020-02-17,69.14231
250,2020-02-18,11.46419
251,2020-02-19,8.63494
252,2020-02-20,6.69295
253,2020-02-21,4.51415
254,2020-02-22,4.29951
255,2020-02-23,3.29223
256,2020-02-24,3.02904
257,2020-02-25,2.5015
258,2020-02-26,2.49651
259,2020-02-27,2.53403
260,2020-02-28,2.31249
261,2020-02-29,2.61301
262,2020-03-01,3.05824
263,2020-03-02,3.07728
264,2020-03-03,2.44346
265,2020-03-04,2.58319
266,2020-03-05,4.85237
267,2020-03-06,2.77898
268,2020-03-07,2.75587
269,2020-03-08,3.51937
270,2020-03-09,2.48868
271,2020-03-10,2.87311
272,2020-03-11,3.84657
273,2020-03-12,2.16198
274,2020-03-13,1.82314
275,2020-03-14,1.67374
276,2020-03-15,1.59864
277,2020-03-16,1.63709
278,2020-03-17,1.57837
279,2020-03-18,1.42491
280,2020-03-19,1.74009
281,2020-03-20,1.99429
282,2020-03-21,1.54658
283,2020-03-22,1.68261
284,2020-03-23,1.44512
285,2020-03-24,1.36306
286,2020-03-25,1.27816
287,2020-03-26,1.31679
288,2020-03-27,1.26966
289,2020-03-28,1.19228
290,2020-03-29,1.6268
291,2020-03-30,1.58189
292,2020-03-31,1.30379
293,2020-04-01,1.35172
294,2020-04-02,4.63675
295,2020-04-03,2.00408
296,2020-04-04,1.4981
297,2020-04-05,1.12575
298,2020-04-06,1.2189
299,2020-04-07,1.23368
300,2020-04-08,1.0613
301,2020-04-09,1.25266
302,2020-04-10,1.07344
303,2020-04-11,1.03438
304,2020-04-12,1.0496
305,2020-04-13,1.06137
306,2020-04-14,1.08096
307,2020-04-15,1.04867
308,2020-04-16,1.03093
309,2020-04-17,1.40316
310,2020-04-18,1.03524
311,2020-04-19,1.36577
312,2020-04-20,12.5677
313,2020-04-21,2.04868
314,2020-04-22,1.19271
315,2020-04-23,1.12149
316,2020-04-24,0.96889
317,2020-04-25,0.89811
318,2020-04-26,2.34847
319,2020-04-27,2.80072
320,2020-04-28,1.50759
321,2020-04-29,1.28451
322,2020-04-30,0.9615
323,2020-05-01,0.91992
324,2020-05-02,0.98368
325,2020-05-03,1.16899
326,2020-05-04,1.16092
327,2020-05-05,0.97703
328,2020-05-06,1.31488
329,2020-05-07,2.82759
330,2020-05-08,12.49772
331,2020-05-09,2.63217
332,2020-05-10,1.2728
333,2020-05-11,1.41702
334,2020-05-12,1.22641
335,2020-05-13,1.17066
336,2020-05-14,1.25574
337,2020-05-15,1.14731
338,2020-05-16,1.1839
339,2020-05-17,1.14866
340,2020-05-18,1.0873
341,2020-05-19,1.05256
342,2020-05-20,1.09396
343,2020-05-21,0.99532
344,2020-05-22,0.89564
345,2020-05-23,0.81746
346,2020-05-24,0.97709
347,2020-05-25,0.94696
348,2020-05-26,0.86182
349,2020-05-27,0.80625
350,2020-05-28,0.7561
351,2020-05-29,0.79103
352,2020-05-30,0.78161
353,2020-05-31,0.79873
354,2020-06-01,0.83132
355,2020-06-02,0.77957
356,2020-06-03,0.83083
357,2020-06-04,0.83576
358,2020-06-05,0.90673
359,2020-06-06,1.30176
360,2020-06-07,1.87052
361,2020-06-08,1.61059
362,2020-06-09,1.14121
363,2020-06-10,1.18624
364,2020-06-11,1.06001
365,2020-06-12,1.0403
366,2020-06-13,1.34328
367,2020-06-14,1.21477
368,2020-06-15,1.13844
369,2020-06-16,0.96107
370,2020-06-17,1.09845
371,2020-06-18,1.47204
372,2020-06-19,2.16414
373,2020-06-20,9.4513
374,2020-06-21,1.41413
375,2020-06-22,1.2765
376,2020-06-23,1.28777
377,2020-06-24,6.78659
378,2020-06-25,1.46625
379,2020-06-26,1.47179
380,2020-06-27,1.2075
381,2020-06-28,1.233
382,2020-06-29,1.0934
383,2020-06-30,1.07369
384,2020-07-01,1.10233
385,2020-07-02,1.30761
386,2020-07-03,10.76815
387,2020-07-04,1.15335
388,2020-07-05,1.10917
389,2020-07-06,1.22296
390,2020-07-07,8.30158
391,2020-07-08,2.64615
392,2020-07-09,1.55712
393,2020-07-10,3.65522
394,2020-07-11,1.22949
395,2020-07-12,1.6998
396,2020-07-13,14.1921
397,2020-07-14,2.37225
398,2020-07-15,2.22427
399,2020-07-16,9.57186
400,2020-07-17,2.29832
401,2020-07-18,1.74779
402,2020-07-19,2.18274
403,2020-07-20,6.64169
404,2020-07-21,1.75322
405,2020-07-22,1.54794
406,2020-07-23,1.43563
407,2020-07-24,1.89115
408,2020-07-25,1.59267
409,2020-07-26,2.04511
410,2020-07-27,3.70407
411,2020-07-28,1.78944
412,2020-07-29,1.33268
413,2020-07-30,1.10036
414,2020-07-31,1.0122
415,2020-08-01,0.95368
