,키워드,날짜,수집날짜,검색량
0,데일리즈,2022-05-09,2022-06-09,500
1,데일리즈,2022-05-10,2022-06-09,53
2,데일리즈,2022-05-11,2022-06-09,35
3,데일리즈,2022-05-12,2022-06-09,48
4,데일리즈,2022-05-13,2022-06-09,21
5,데일리즈,2022-05-14,2022-06-09,11
6,데일리즈,2022-05-15,2022-06-09,23
7,데일리즈,2022-05-16,2022-06-09,19
8,데일리즈,2022-05-17,2022-06-09,16
9,데일리즈,2022-05-18,2022-06-09,13
10,데일리즈,2022-05-19,2022-06-09,11
11,데일리즈,2022-05-20,2022-06-09,7
12,데일리즈,2022-05-21,2022-06-09,8
13,데일리즈,2022-05-22,2022-06-09,12
14,데일리즈,2022-05-23,2022-06-09,17
15,데일리즈,2022-05-24,2022-06-09,13
16,데일리즈,2022-05-25,2022-06-09,14
17,데일리즈,2022-05-26,2022-06-09,10
18,데일리즈,2022-05-27,2022-06-09,8
19,데일리즈,2022-05-28,2022-06-09,10
20,데일리즈,2022-05-29,2022-06-09,7
21,데일리즈,2022-05-30,2022-06-09,9
22,데일리즈,2022-05-31,2022-06-09,13
23,데일리즈,2022-06-01,2022-06-09,12
24,데일리즈,2022-06-02,2022-06-09,10
25,데일리즈,2022-06-03,2022-06-09,10
26,데일리즈,2022-06-04,2022-06-09,10
27,데일리즈,2022-06-05,2022-06-09,9
28,데일리즈,2022-06-06,2022-06-09,8
29,데일리즈,2022-06-07,2022-06-09,8
30,데일리즈,2022-06-08,2022-06-09,14
0,김건희옷,2022-05-09,2022-06-09,374
1,김건희옷,2022-05-10,2022-06-09,46991
2,김건희옷,2022-05-11,2022-06-09,43676
3,김건희옷,2022-05-12,2022-06-09,18527
4,김건희옷,2022-05-13,2022-06-09,11105
5,김건희옷,2022-05-14,2022-06-09,6189
6,김건희옷,2022-05-15,2022-06-09,4474
7,김건희옷,2022-05-16,2022-06-09,3524
8,김건희옷,2022-05-17,2022-06-09,5619
9,김건희옷,2022-05-18,2022-06-09,2680
10,김건희옷,2022-05-19,2022-06-09,2036
11,김건희옷,2022-05-20,2022-06-09,1833
12,김건희옷,2022-05-21,2022-06-09,2329
13,김건희옷,2022-05-22,2022-06-09,6755
14,김건희옷,2022-05-23,2022-06-09,6393
15,김건희옷,2022-05-24,2022-06-09,7319
16,김건희옷,2022-05-25,2022-06-09,3591
17,김건희옷,2022-05-26,2022-06-09,2117
18,김건희옷,2022-05-27,2022-06-09,6735
19,김건희옷,2022-05-28,2022-06-09,7830
20,김건희옷,2022-05-29,2022-06-09,4597
21,김건희옷,2022-05-30,2022-06-09,3529
22,김건희옷,2022-05-31,2022-06-09,2772
23,김건희옷,2022-06-01,2022-06-09,2899
24,김건희옷,2022-06-02,2022-06-09,3178
25,김건희옷,2022-06-03,2022-06-09,2904
26,김건희옷,2022-06-04,2022-06-09,3194
27,김건희옷,2022-06-05,2022-06-09,2343
28,김건희옷,2022-06-06,2022-06-09,3767
29,김건희옷,2022-06-07,2022-06-09,2726
30,김건희옷,2022-06-08,2022-06-09,2181
0,교련복,2022-05-09,2022-06-09,1726
1,교련복,2022-05-10,2022-06-09,1867
2,교련복,2022-05-11,2022-06-09,1836
3,교련복,2022-05-12,2022-06-09,2027
4,교련복,2022-05-13,2022-06-09,2014
5,교련복,2022-05-14,2022-06-09,1157
6,교련복,2022-05-15,2022-06-09,820
7,교련복,2022-05-16,2022-06-09,1098
8,교련복,2022-05-17,2022-06-09,1217
9,교련복,2022-05-18,2022-06-09,1204
10,교련복,2022-05-19,2022-06-09,1075
11,교련복,2022-05-20,2022-06-09,1103
12,교련복,2022-05-21,2022-06-09,589
13,교련복,2022-05-22,2022-06-09,490
14,교련복,2022-05-23,2022-06-09,649
15,교련복,2022-05-24,2022-06-09,532
16,교련복,2022-05-25,2022-06-09,533
17,교련복,2022-05-26,2022-06-09,587
18,교련복,2022-05-27,2022-06-09,528
19,교련복,2022-05-28,2022-06-09,364
20,교련복,2022-05-29,2022-06-09,281
21,교련복,2022-05-30,2022-06-09,393
22,교련복,2022-05-31,2022-06-09,403
23,교련복,2022-06-01,2022-06-09,281
24,교련복,2022-06-02,2022-06-09,329
25,교련복,2022-06-03,2022-06-09,361
26,교련복,2022-06-04,2022-06-09,238
27,교련복,2022-06-05,2022-06-09,200
28,교련복,2022-06-06,2022-06-09,193
29,교련복,2022-06-07,2022-06-09,213
30,교련복,2022-06-08,2022-06-09,276
0,마르조썸머인견팬츠,2022-05-09,2022-06-09,0
1,마르조썸머인견팬츠,2022-05-10,2022-06-09,331
2,마르조썸머인견팬츠,2022-05-11,2022-06-09,30
3,마르조썸머인견팬츠,2022-05-12,2022-06-09,484
4,마르조썸머인견팬츠,2022-05-13,2022-06-09,296
5,마르조썸머인견팬츠,2022-05-14,2022-06-09,502
6,마르조썸머인견팬츠,2022-05-15,2022-06-09,92
7,마르조썸머인견팬츠,2022-05-16,2022-06-09,74
8,마르조썸머인견팬츠,2022-05-17,2022-06-09,253
9,마르조썸머인견팬츠,2022-05-18,2022-06-09,159
10,마르조썸머인견팬츠,2022-05-19,2022-06-09,45
11,마르조썸머인견팬츠,2022-05-20,2022-06-09,48
12,마르조썸머인견팬츠,2022-05-21,2022-06-09,31
13,마르조썸머인견팬츠,2022-05-22,2022-06-09,18
14,마르조썸머인견팬츠,2022-05-23,2022-06-09,108
15,마르조썸머인견팬츠,2022-05-24,2022-06-09,54
16,마르조썸머인견팬츠,2022-05-25,2022-06-09,41
17,마르조썸머인견팬츠,2022-05-26,2022-06-09,50
18,마르조썸머인견팬츠,2022-05-27,2022-06-09,58
19,마르조썸머인견팬츠,2022-05-28,2022-06-09,30
20,마르조썸머인견팬츠,2022-05-29,2022-06-09,14
21,마르조썸머인견팬츠,2022-05-30,2022-06-09,278
22,마르조썸머인견팬츠,2022-05-31,2022-06-09,58
23,마르조썸머인견팬츠,2022-06-01,2022-06-09,68
24,마르조썸머인견팬츠,2022-06-02,2022-06-09,49
25,마르조썸머인견팬츠,2022-06-03,2022-06-09,35
26,마르조썸머인견팬츠,2022-06-04,2022-06-09,62
27,마르조썸머인견팬츠,2022-06-05,2022-06-09,39
