,기간,잠옷,교련복,마르조썸머인견팬츠,반팔크롭자켓,세루티자켓,올리비아로렌티셔츠,비비안마이핏네모팬티,안나수이원피스,항균여자사각팬티,나이스,행텐10320-150-404-51,리린,법복,모르간썸머원피스,한지민가디건,스프리스기능성바람막이,쿨스판골지여자밴딩와이드바지,에바큐브,여성정장하객룩,나이키더블스우시후드집업,마틴발썸머울카라니트,여성여름정장,유니클로마르니,딜레탕티즘,셀린느티셔츠,닉스조거팬츠,클로앤차이가디건형니트,디키즈874여자,반팔청자켓,레이지카키하프조거팬츠,테이퍼드세미와이드청바지,남성린넨체크셔츠,트위드반팔,남자무지트임브이넥,마드제이,테이핑브라,데일리셔링청롱원피스,여성반팔가디건,유에르,지오다노101221,커클랜드티셔츠,헬스오버핏반팔티셔츠,테니스원피스,노가다망사작업조끼,텐셀배기진,러브이즈트루,가니송,신혼부부,리스트바지,여성롱원피스,폴로반팔셔츠,리바이스쿨진여성,엉뽕,쿨스판스판팬츠,비비안컴포트브라팬티,맥스튜어트뉴욕데님,질염예방여성면팬티,트임밴딩롱스커트,마리나요팅티셔츠,바스락스커트,달고나라인린넨원피스,비뮤즈맨션,김나영실리콘니플패치니플패드,다다있어민소매,리더잭텐셀풀스트링팬츠,올앤선드리원피스,자바나스반팔,골지니트여성니트,세루티니트,안지크원피스,올리브그린썸머하이웨이팬츠,남자머슬핏반팔무지티셔츠,코닥반팔티,누모브라렛,쌍방울하나만,남자냉장고바지시원한쿨아이스와이드슬랙스남자여름밴딩팬츠,컬럼비아유니버시티,어랏오브풀업드로즈80수모달,빅로고헬스티,페미닌럭비티셔츠,굿라이프웍스_아울렛,레이어드트임반팔티,무지여름반팔,비비안컴포트,벤티브팬츠,신영와코루슬림업,아우터,비비안컴포트브라
0,2019-06-11,18.08695,0.77217,0.0,0.04869,0.0,0.38260000000000005,0.0,0.06259999999999977,0.0,47.56188120892921,4.6747131902336037e-05,76.39656402179877,0.7926916338100263,0.0,0.0,0.0,0.0,2.0730400000000007,0.0,0.0,0.0,1.015650850542304,2.269703812274315e-05,2.269703812274315e-05,0.4243548447959071,0.0,0.0,0.0,0.06955999999999918,0.0,0.0,0.0,0.13217000000000034,0.0,0.0,0.0,0.0,0.21565000000000012,0.0,0.0,0.09739000000000075,0.0,0.68173,0.0,0.0,0.5217299999999998,0.13217000000000034,1.4608600000000003,0.7443399999999976,1.4469499999999993,2.3652099999999976,0.0,0.6330399999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000014,0.0,0.22955999999999932,0.0,0.0,0.0,0.4660800000000016,0.08347000000000016,0.0,0.0,0.3130400000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4834700000000005,0.0
1,2019-06-12,17.00869,0.83478,0.0,0.08347,0.0,0.2225999999999999,0.0,0.06259999999999977,0.0,52.354922118795955,4.6747131902336037e-05,76.09029106360411,0.9947794318666716,0.0,0.0,0.0,0.0,0.36869000000000085,0.0,0.0,0.0,1.0365379414827878,2.269703812274315e-05,2.269703812274315e-05,0.5147858504835181,0.0,0.0,0.0,0.16000000000000014,0.0,0.0,0.0,0.13912999999999975,0.0,0.0,0.0,0.0,0.12521000000000093,0.0,0.0,0.09739000000000075,0.0,0.8417300000000001,0.0,0.0,0.5843399999999974,0.2573900000000009,1.2869499999999992,0.7234700000000007,1.6069499999999994,2.3026,0.0,0.7026000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.18782000000000032,0.0,0.22955999999999932,0.0,0.0,0.0,0.3269500000000001,0.03477999999999959,0.0,0.0,0.2852100000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4765200000000025,0.0
2,2019-06-13,16.32,0.99478,0.0,0.13913,0.0,0.4452100000000012,0.0,0.06955999999999918,0.0,50.358127140070465,4.6747131902336037e-05,73.6003180906575,1.1125767234799984,0.0,0.06955999999999918,0.0,0.0,1.02956,0.0,0.0,0.0,1.0921837028433092,2.269703812274315e-05,2.269703812274315e-05,0.3547843561417334,0.0,0.0,0.0,0.11129999999999995,0.0,0.0,0.0,0.16000000000000014,0.0,0.0,0.0,0.0,0.2434700000000003,0.0,0.0,0.048690000000000566,0.0,0.7234700000000007,0.0,0.0,0.5982599999999998,0.6886899999999994,1.1547799999999988,0.8278199999999991,1.314779999999999,2.205210000000001,0.0,0.7095599999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.21565000000000012,0.0,0.2991299999999999,0.0,0.0,0.0,0.2573900000000009,0.09739000000000075,0.0,0.0,0.2573900000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2747800000000016,0.0
3,2019-06-14,14.92869,0.85565,0.0,0.04869,0.0,0.3408599999999993,0.0,0.07652000000000037,0.0,53.95487111066407,4.6747131902336037e-05,65.55816610633602,1.022527238335588,0.0,0.11129999999999995,0.0,0.0,0.33391000000000126,0.0,0.0,0.0,0.8695740834941752,2.269703812274315e-05,2.269703812274315e-05,0.4104566914093013,0.0,0.0,0.0,0.09042999999999957,0.0,0.0,0.0,0.13912999999999975,0.0,0.0,0.0,0.0,0.16694999999999993,0.0,0.0,0.11825999999999937,0.0,0.5356500000000004,0.0,0.0,0.37565000000000026,0.5634700000000006,1.0504300000000004,0.5913000000000004,1.1478199999999994,1.5652100000000004,0.0,0.39652000000000065,0.0,0.0,0.0,0.0,0.0,0.0,0.13217000000000034,0.0,0.15304000000000073,0.0,0.0,0.0,0.486950000000002,0.0,0.0,0.0,0.2434700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.205210000000001,0.0
4,2019-06-15,14.59478,0.73739,0.0,0.0,0.0,0.5356500000000004,0.0,0.03477999999999959,0.0,32.50058127500823,4.6747131902336037e-05,57.84322882094047,0.7790795023347084,0.0,0.0,0.0,0.0,0.2086900000000007,0.0,0.0,0.0,1.015650850542304,2.269703812274315e-05,2.269703812274315e-05,0.27131571410094857,0.0,0.0,0.0,0.13912999999999975,0.0,0.0,0.0,0.08347000000000016,0.0,0.0,0.0,0.0,0.2573900000000009,0.0,0.0,0.11825999999999937,0.0,0.6260800000000017,0.0,0.0,0.5356500000000004,0.21565000000000012,0.9391300000000005,0.8695599999999999,1.2939099999999986,1.5373900000000003,0.0,0.5426000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.14608000000000132,0.0,0.2365200000000005,0.0,0.0,0.0,0.5356500000000004,0.048690000000000566,0.0,0.0,0.4939100000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4000000000000004,0.0
5,2019-06-16,18.80347,0.64,0.0,0.03478,0.0,0.35478000000000165,0.0,0.06259999999999977,0.0,31.20009917559709,4.6747131902336037e-05,58.03851055325946,0.78588556807237,0.0,0.05564999999999998,0.0,0.0,0.14608000000000132,0.0,0.0,0.0,0.9947903335088721,2.269703812274315e-05,2.269703812274315e-05,0.5913187027845215,0.0,0.0,0.0,0.17391000000000112,0.0,0.0,0.0,0.11129999999999995,0.0,0.0,0.0,0.0,0.18085999999999913,0.0,0.0,0.09042999999999957,0.0,0.5982599999999998,0.0,0.0,0.486950000000002,0.2991299999999999,1.0017300000000002,1.3356499999999993,1.5095600000000005,1.906080000000001,0.0,0.4521700000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.21565000000000012,0.0,0.18085999999999913,0.0,0.0,0.0,0.37565000000000026,0.04172999999999938,0.0,0.0,0.5495599999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3513,0.0
6,2019-06-17,18.4626,0.58434,0.0,0.08347,0.0,0.2782599999999995,0.0,0.09739000000000075,0.0,66.09375112553795,4.6747131902336037e-05,74.10763175987222,1.182208011411431,0.0,0.0,0.0,0.0,0.22955999999999932,0.0,0.0,0.0,0.9878279698620442,2.269703812274315e-05,2.269703812274315e-05,0.6400021004982133,0.0,0.0,0.0,0.18782000000000032,0.0,0.0,0.0,0.20172999999999952,0.0,0.0,0.0,0.0,0.21565000000000012,0.0,0.0,0.11129999999999995,0.0,0.6886899999999994,0.0,0.0,0.5843399999999974,0.5286899999999992,1.474779999999999,0.7026000000000003,1.426079999999999,1.73217,0.0,0.5147800000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.13217000000000034,0.0,0.15304000000000073,0.0,0.0,0.0,0.36172999999999966,0.0,0.0,0.0,0.4799900000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3095599999999994,0.0
7,2019-06-18,17.53739,0.67478,0.0,0.04869,0.0,0.39652000000000065,0.0,0.03477999999999959,0.0,53.88523982273264,4.6747131902336037e-05,76.7792743336625,1.0083915633419895,0.0,0.0,0.0,0.0,0.8069500000000023,0.0,0.0,0.0,1.0782589755496552,2.269703812274315e-05,2.269703812274315e-05,0.45914008912299664,0.0,0.0,0.0,0.11129999999999995,0.0,0.0,0.0,0.10434000000000054,0.0,0.0,0.0,0.0,0.38955999999999946,0.0,0.0,0.048690000000000566,0.0,0.7165199999999992,0.0,0.0,0.765209999999998,0.45913000000000004,1.2591300000000007,0.57043,1.4191299999999991,1.6069499999999994,0.0,0.6539100000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000014,0.0,0.22955999999999932,0.0,0.0,0.0,0.4243400000000008,0.10434000000000054,0.0,0.0,0.4243400000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3513,0.0
8,2019-06-19,17.76695,0.91826,0.0,0.07652,0.0,0.40347000000000044,0.0,0.05564999999999998,0.0,54.49726219560367,4.6747131902336037e-05,73.02284958999304,0.8000212430659683,0.0,0.0,0.0,0.0,0.2434700000000003,0.0,0.0,0.0,0.918257481207867,2.269703812274315e-05,0.04174373110499019,0.3408862027551258,0.0,0.0,0.0,0.18782000000000032,0.0,0.0,0.0,0.11129999999999995,0.0,0.0,0.0,0.0,0.18782000000000032,0.04172999999999938,0.0,0.06955999999999918,0.0,0.7095599999999997,0.0,0.0,0.6121700000000008,0.2921700000000005,1.231300000000001,0.7026000000000003,1.48869,1.5373900000000003,0.0,0.7095599999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.2365200000000005,0.0,0.3408599999999993,0.0,0.0,0.0,0.35478000000000165,0.11825999999999937,0.0,0.0,0.5008599999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1217299999999994,0.0
9,2019-06-20,16.68173,0.65391,0.0,0.0,0.0,0.3130400000000009,0.0,0.03477999999999959,0.0,54.99829334259903,4.6747131902336037e-05,70.96375293259207,0.8413811810102025,0.0,0.03477999999999959,0.0,0.0,0.2365200000000005,0.0,0.0,0.0,0.8904346005276089,2.269703812274315e-05,2.269703812274315e-05,0.3339238391082997,0.0,0.0,0.0,0.14608000000000132,0.0,0.0,0.0,0.11825999999999937,0.0,0.0,0.0,0.0,0.2643400000000007,0.0,0.0,0.06955999999999918,0.0,0.9252099999999981,0.0,0.0,0.37565000000000026,0.2643400000000007,1.120000000000001,0.8139099999999981,1.43304,1.641729999999999,0.0,0.4243400000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.16694999999999993,0.0,0.2365200000000005,0.0,0.0,0.0,0.2921700000000005,0.03477999999999959,0.0,0.0,0.5008599999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37913,0.0
