,기간,세븐틴
227,2020-01-26,3.57967
228,2020-01-27,3.80034
229,2020-01-28,3.67129
230,2020-01-29,3.59477
231,2020-01-30,4.3645
232,2020-01-31,4.1412
233,2020-02-01,5.56407
234,2020-02-02,4.05057
235,2020-02-03,3.61251
236,2020-02-04,4.03218
237,2020-02-05,12.1146
238,2020-02-06,4.49027
239,2020-02-07,4.37796
240,2020-02-08,3.8716
241,2020-02-09,4.26894
242,2020-02-10,3.84106
243,2020-02-11,3.98522
244,2020-02-12,3.94286
245,2020-02-13,3.73204
246,2020-02-14,3.86011
247,2020-02-15,3.55274
248,2020-02-16,3.41548
249,2020-02-17,3.54946
250,2020-02-18,4.00525
251,2020-02-19,3.51826
252,2020-02-20,3.59018
253,2020-02-21,3.41679
254,2020-02-22,3.29595
255,2020-02-23,3.34915
256,2020-02-24,3.46047
257,2020-02-25,3.72481
258,2020-02-26,3.68376
259,2020-02-27,3.57244
260,2020-02-28,3.93071
261,2020-02-29,3.60528
262,2020-03-01,3.57179
263,2020-03-02,3.95796
264,2020-03-03,4.65807
265,2020-03-04,4.10836
266,2020-03-05,3.80001
267,2020-03-06,3.63451
268,2020-03-07,3.40464
269,2020-03-08,3.63352
270,2020-03-09,4.67186
271,2020-03-10,4.95722
272,2020-03-11,4.46991
273,2020-03-12,4.61866
274,2020-03-13,4.08997
275,2020-03-14,3.87521
276,2020-03-15,3.66143
277,2020-03-16,3.76028
278,2020-03-17,4.95919
279,2020-03-18,4.5786
280,2020-03-19,4.09293
281,2020-03-20,3.78491
282,2020-03-21,3.92217
283,2020-03-22,3.8184
284,2020-03-23,3.70806
285,2020-03-24,4.0371
286,2020-03-25,3.68508
287,2020-03-26,3.80921
288,2020-03-27,3.85879
289,2020-03-28,4.90567
290,2020-03-29,4.44955
291,2020-03-30,3.87258
292,2020-03-31,3.86109
293,2020-04-01,5.29414
294,2020-04-02,4.80453
295,2020-04-03,4.39372
296,2020-04-04,3.92118
297,2020-04-05,3.9688
298,2020-04-06,4.46794
299,2020-04-07,3.90247
300,2020-04-08,3.85715
301,2020-04-09,3.58919
302,2020-04-10,3.4736
303,2020-04-11,3.80264
304,2020-04-12,3.42828
305,2020-04-13,3.90838
306,2020-04-14,3.57671
307,2020-04-15,3.79115
308,2020-04-16,3.65388
309,2020-04-17,3.39906
310,2020-04-18,3.20663
311,2020-04-19,3.33207
312,2020-04-20,3.71693
313,2020-04-21,3.84533
314,2020-04-22,3.83055
315,2020-04-23,3.33634
316,2020-04-24,3.48444
317,2020-04-25,3.2017
318,2020-04-26,3.21352
319,2020-04-27,3.75043
320,2020-04-28,3.50611
321,2020-04-29,3.69362
322,2020-04-30,3.25063
323,2020-05-01,3.16263
324,2020-05-02,3.3695
325,2020-05-03,3.81085
326,2020-05-04,3.71595
327,2020-05-05,4.09949
328,2020-05-06,13.63894
329,2020-05-07,4.4351
330,2020-05-08,3.88605
331,2020-05-09,9.31122
332,2020-05-10,4.91421
333,2020-05-11,4.06075
334,2020-05-12,3.76126
335,2020-05-13,4.50767
336,2020-05-14,3.49659
337,2020-05-15,3.558
338,2020-05-16,3.23093
339,2020-05-17,3.18397
340,2020-05-18,16.04794
341,2020-05-19,7.11862
342,2020-05-20,4.15532
343,2020-05-21,3.54946
344,2020-05-22,3.36392
345,2020-05-23,2.90255
346,2020-05-24,3.02569
347,2020-05-25,5.83925
348,2020-05-26,6.72522
349,2020-05-27,3.60857
350,2020-05-28,15.10713
351,2020-05-29,3.81052
352,2020-05-30,3.45127
353,2020-05-31,3.71004
354,2020-06-01,3.40661
355,2020-06-02,3.39381
356,2020-06-03,3.41187
357,2020-06-04,3.17215
