,기간,아우터
200,2019-12-30,3.59652
201,2019-12-31,2.75478
202,2020-01-01,3.29043
203,2020-01-02,3.1513
204,2020-01-03,3.41565
205,2020-01-04,3.55478
206,2020-01-05,3.68
207,2020-01-06,3.49217
208,2020-01-07,3.60347
209,2020-01-08,3.87478
210,2020-01-09,3.88173
211,2020-01-10,3.6313
212,2020-01-11,3.38782
213,2020-01-12,4.11826
214,2020-01-13,3.99304
215,2020-01-14,3.57565
216,2020-01-15,3.66608
217,2020-01-16,3.89565
218,2020-01-17,3.2626
219,2020-01-18,4.04869
220,2020-01-19,3.95826
221,2020-01-20,3.60347
222,2020-01-21,3.34608
223,2020-01-22,3.53391
224,2020-01-23,3.87478
225,2020-01-24,3.28347
226,2020-01-25,3.69391
227,2020-01-26,4.32
228,2020-01-27,4.82086
229,2020-01-28,4.46608
230,2020-01-29,4.98782
231,2020-01-30,4.83478
232,2020-01-31,4.40347
233,2020-02-01,4.88347
234,2020-02-02,5.00173
235,2020-02-03,4.90434
236,2020-02-04,4.53565
237,2020-02-05,4.20173
238,2020-02-06,3.76347
239,2020-02-07,3.68695
240,2020-02-08,4.01391
241,2020-02-09,4.52869
242,2020-02-10,5.30782
243,2020-02-11,5.32173
244,2020-02-12,4.93913
245,2020-02-13,5.31478
246,2020-02-14,5.14782
247,2020-02-15,5.95478
248,2020-02-16,4.98086
249,2020-02-17,4.34782
250,2020-02-18,4.52869
251,2020-02-19,4.58434
252,2020-02-20,4.38956
253,2020-02-21,3.95826
254,2020-02-22,4.33391
255,2020-02-23,4.89043
256,2020-02-24,4.50782
257,2020-02-25,4.49391
258,2020-02-26,4.94608
259,2020-02-27,5.53739
260,2020-02-28,4.66782
261,2020-02-29,5.36347
262,2020-03-01,6.18434
263,2020-03-02,6.33739
264,2020-03-03,6.0313
265,2020-03-04,5.50956
266,2020-03-05,4.93913
267,2020-03-06,4.70956
268,2020-03-07,5.16869
269,2020-03-08,5.64173
270,2020-03-09,5.64869
271,2020-03-10,5.50956
272,2020-03-11,5.50956
273,2020-03-12,5.28695
274,2020-03-13,4.96
275,2020-03-14,4.55652
276,2020-03-15,5.18956
277,2020-03-16,5.17565
278,2020-03-17,4.57739
279,2020-03-18,5.48173
280,2020-03-19,4.75826
281,2020-03-20,4.19478
282,2020-03-21,4.82086
283,2020-03-22,4.96695
284,2020-03-23,4.85565
285,2020-03-24,4.43826
286,2020-03-25,4.33391
287,2020-03-26,4.07652
288,2020-03-27,3.41565
289,2020-03-28,3.77043
290,2020-03-29,4.04869
291,2020-03-30,3.74956
292,2020-03-31,3.9513
293,2020-04-01,4.13913
294,2020-04-02,3.96521
295,2020-04-03,3.57565
296,2020-04-04,3.74956
297,2020-04-05,4.16
298,2020-04-06,4.18086
299,2020-04-07,3.69391
300,2020-04-08,3.75652
301,2020-04-09,3.55478
302,2020-04-10,3.7426
303,2020-04-11,3.72173
304,2020-04-12,4.02086
305,2020-04-13,3.72869
306,2020-04-14,3.62434
307,2020-04-15,3.48521
308,2020-04-16,3.37391
309,2020-04-17,3.29739
310,2020-04-18,3.21391
311,2020-04-19,4.48
312,2020-04-20,4.02086
313,2020-04-21,4.36173
314,2020-04-22,4.2713
315,2020-04-23,3.97913
316,2020-04-24,3.53391
317,2020-04-25,3.63826
318,2020-04-26,4.0
319,2020-04-27,3.81913
320,2020-04-28,3.95826
321,2020-04-29,2.9913
322,2020-04-30,3.11652
323,2020-05-01,2.51826
324,2020-05-02,2.46956
325,2020-05-03,2.23304
326,2020-05-04,2.09391
327,2020-05-05,2.45565
328,2020-05-06,2.37217
329,2020-05-07,2.10086
330,2020-05-08,1.77391
331,2020-05-09,1.96869
332,2020-05-10,2.1426
333,2020-05-11,2.26782
334,2020-05-12,2.45565
