,기간,캠핑
200,2019-12-30,9.41913
201,2019-12-31,6.65043
202,2020-01-01,7.02608
203,2020-01-02,7.84
204,2020-01-03,6.9913
205,2020-01-04,7.37391
206,2020-01-05,8.44521
207,2020-01-06,8.11826
208,2020-01-07,7.84695
209,2020-01-08,6.97739
210,2020-01-09,7.53391
211,2020-01-10,6.49739
212,2020-01-11,6.88
213,2020-01-12,7.63826
214,2020-01-13,7.78434
215,2020-01-14,7.28347
216,2020-01-15,7.15826
217,2020-01-16,6.99826
218,2020-01-17,6.73391
219,2020-01-18,6.77565
220,2020-01-19,10.9426
221,2020-01-20,7.84695
222,2020-01-21,6.87304
223,2020-01-22,6.37217
224,2020-01-23,5.86434
225,2020-01-24,5.42608
226,2020-01-25,6.80347
227,2020-01-26,8.07652
228,2020-01-27,7.61739
229,2020-01-28,7.13739
230,2020-01-29,7.93043
231,2020-01-30,7.49913
232,2020-01-31,6.96347
233,2020-02-01,6.87304
234,2020-02-02,7.08869
235,2020-02-03,7.69391
236,2020-02-04,7.77043
237,2020-02-05,6.99826
238,2020-02-06,7.54086
239,2020-02-07,7.01217
240,2020-02-08,7.95826
241,2020-02-09,8.92521
242,2020-02-10,9.16869
243,2020-02-11,9.59304
244,2020-02-12,9.24521
245,2020-02-13,10.28869
246,2020-02-14,9.90608
247,2020-02-15,9.80173
248,2020-02-16,10.78956
249,2020-02-17,10.12869
250,2020-02-18,9.05739
251,2020-02-19,8.77217
252,2020-02-20,8.90434
253,2020-02-21,7.49217
254,2020-02-22,7.60347
255,2020-02-23,7.43652
256,2020-02-24,8.12521
257,2020-02-25,9.38434
258,2020-02-26,9.51652
259,2020-02-27,9.68347
260,2020-02-28,10.90086
261,2020-02-29,11.97913
262,2020-03-01,13.58608
263,2020-03-02,12.42434
264,2020-03-03,12.8
265,2020-03-04,11.57565
266,2020-03-05,12.8626
267,2020-03-06,13.40521
268,2020-03-07,12.57739
269,2020-03-08,18.00347
270,2020-03-09,17.46086
271,2020-03-10,17.10608
272,2020-03-11,15.25565
273,2020-03-12,15.77739
274,2020-03-13,15.03304
275,2020-03-14,15.89565
276,2020-03-15,20.16695
277,2020-03-16,20.16695
278,2020-03-17,22.05913
279,2020-03-18,20.81391
280,2020-03-19,17.6
281,2020-03-20,20.05565
282,2020-03-21,20.71652
283,2020-03-22,22.98434
284,2020-03-23,22.85913
285,2020-03-24,20.98782
286,2020-03-25,18.12869
287,2020-03-26,20.57043
288,2020-03-27,22.46956
289,2020-03-28,32.61217
290,2020-03-29,35.39478
291,2020-03-30,32.93913
292,2020-03-31,30.51826
293,2020-04-01,29.08521
294,2020-04-02,28.88347
295,2020-04-03,30.53217
296,2020-04-04,36.48695
297,2020-04-05,41.85043
298,2020-04-06,39.58956
299,2020-04-07,34.89391
300,2020-04-08,34.21913
301,2020-04-09,31.91652
302,2020-04-10,28.80695
303,2020-04-11,30.64347
304,2020-04-12,35.74956
305,2020-04-13,35.41565
306,2020-04-14,32.02782
307,2020-04-15,32.02782
308,2020-04-16,35.22086
309,2020-04-17,34.56695
310,2020-04-18,42.36521
311,2020-04-19,53.91304
312,2020-04-20,49.19652
313,2020-04-21,44.02782
314,2020-04-22,42.7826
315,2020-04-23,43.06086
316,2020-04-24,38.76173
317,2020-04-25,39.65217
318,2020-04-26,54.07304
