,기간,잠옷,현재는아름다워옷,쎄르페,드로우즈팬티,비비안컴포트브라,아우터,신영와코루슬림업,컬럼비아유니버시티,쌍방울하나만,누모브라렛,코닥반팔티,올리브그린썸머하이웨이팬츠,안지크원피스,세루티니트,리더잭텐셀풀스트링팬츠,올앤선드리원피스,비뮤즈맨션,바스락스커트,마리나요팅티셔츠,맥스튜어트뉴욕데님,비비안컴포트브라팬티,엉뽕,리바이스쿨진여성,폴로반팔셔츠,여성롱원피스,리스트바지,신혼부부,가니송,러브이즈트루,테니스원피스,커클랜드티셔츠,유에르,여성반팔가디건,테이핑브라,지오다노101221,마드제이,트위드반팔,테이퍼드세미와이드청바지,레이지카키하프조거팬츠,반팔청자켓,디키즈874여자,셀린느티셔츠,클로앤차이가디건형니트,닉스조거팬츠,딜레탕티즘,유니클로마르니,여성여름정장,마틴발썸머울카라니트,나이키더블스우시후드집업,여성정장하객룩,에바큐브,스프리스기능성바람막이,한지민가디건,모르간썸머원피스,법복,리린,행텐10320-150-404-51,안나수이원피스,비비안마이핏네모팬티,나이스,올리비아로렌티셔츠
0,2019-06-13,16.32,0.0,0.0,0.0,0.0,2.2747800000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.2573900000000009,0.0,0.0,0.2573900000000009,0.2991299999999999,0.21565000000000012,0.0,0.0,0.0,0.7095599999999997,0.0,2.205210000000001,1.314779999999999,0.8278199999999991,1.1547799999999988,0.6886899999999994,0.5982599999999998,0.7234700000000007,0.048690000000000566,0.0,0.2434700000000003,0.0,0.0,0.0,0.16000000000000014,0.0,0.0,0.11129999999999995,0.0,0.35478000000000165,0.0,0.0,0.0,2.269703812274315e-05,1.0921837028433092,2.269703812274315e-05,2.269703812274315e-05,0.0,1.02956,0.0,0.06955999999999918,4.643076170651739e-06,1.113041764683036,73.59999242567207,4.643076170651739e-06,0.06915449154505104,4.6747131902336037e-05,50.358127140070465,0.4450587376711397
1,2019-06-14,14.92869,0.0,0.0,0.0,0.0,2.205210000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2434700000000003,0.0,0.0,0.486950000000002,0.15304000000000073,0.13217000000000034,0.0,0.0,0.0,0.39652000000000065,0.0,1.5652100000000004,1.1478199999999994,0.5913000000000004,1.0504300000000004,0.5634700000000006,0.37565000000000026,0.5356500000000004,0.11825999999999937,0.0,0.16694999999999993,0.0,0.0,0.0,0.13912999999999975,0.0,0.0,0.09042999999999957,0.0,0.41042999999999985,0.0,0.0,0.0,2.269703812274315e-05,0.8695740834941752,2.269703812274315e-05,2.269703812274315e-05,0.0,0.33391000000000126,0.0,0.11129999999999995,4.643076170651739e-06,1.0226066940220573,65.55825738648046,4.643076170651739e-06,0.07648410080099488,4.6747131902336037e-05,53.95487111066407,0.34087357753313086
2,2019-06-15,14.59478,0.0,0.0,0.0,0.0,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.4939100000000014,0.0,0.0,0.5356500000000004,0.2365200000000005,0.14608000000000132,0.0,0.0,0.0,0.5426000000000002,0.0,1.5373900000000003,1.2939099999999986,0.8695599999999999,0.9391300000000005,0.21565000000000012,0.5356500000000004,0.6260800000000017,0.11825999999999937,0.0,0.2573900000000009,0.0,0.0,0.0,0.08347000000000016,0.0,0.0,0.13912999999999975,0.0,0.2713000000000001,0.0,0.0,0.0,2.269703812274315e-05,1.015650850542304,2.269703812274315e-05,2.269703812274315e-05,0.0,0.2086900000000007,0.0,0.0,4.643076170651739e-06,0.7791294579749088,57.8434718088827,4.643076170651739e-06,0.03460061933847669,4.6747131902336037e-05,32.50058127500823,0.5356317663338341
3,2019-06-16,18.80347,0.0,0.0,0.0,0.0,2.3513,0.0,0.0,0.0,0.0,0.0,0.0,0.5495599999999996,0.0,0.0,0.37565000000000026,0.18085999999999913,0.21565000000000012,0.0,0.0,0.0,0.4521700000000006,0.0,1.906080000000001,1.5095600000000005,1.3356499999999993,1.0017300000000002,0.2991299999999999,0.486950000000002,0.5982599999999998,0.09042999999999957,0.0,0.18085999999999913,0.0,0.0,0.0,0.11129999999999995,0.0,0.0,0.17391000000000112,0.0,0.5913000000000004,0.0,0.0,0.0,2.269703812274315e-05,0.9947903335088721,2.269703812274315e-05,2.269703812274315e-05,0.0,0.14608000000000132,0.0,0.05564999999999998,4.643076170651739e-06,0.7860806008285088,58.03825593817254,4.643076170651739e-06,0.06234842580739475,4.6747131902336037e-05,31.20009917559709,0.3544857090084488
4,2019-06-17,18.4626,0.0,0.0,0.0,0.0,2.3095599999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.4799900000000008,0.0,0.0,0.36172999999999966,0.15304000000000073,0.13217000000000034,0.0,0.0,0.0,0.5147800000000018,0.0,1.73217,1.426079999999999,0.7026000000000003,1.474779999999999,0.5286899999999992,0.5843399999999974,0.6886899999999994,0.11129999999999995,0.0,0.21565000000000012,0.0,0.0,0.0,0.20172999999999952,0.0,0.0,0.18782000000000032,0.0,0.6400000000000006,0.0,0.0,0.0,2.269703812274315e-05,0.9878279698620442,2.269703812274315e-05,2.269703812274315e-05,0.0,0.22955999999999932,0.0,0.0,4.643076170651739e-06,1.1826117045225217,74.10782373084857,4.643076170651739e-06,0.09742584153224954,4.6747131902336037e-05,66.09375112553795,0.27804835533935446
5,2019-06-18,17.53739,0.0,0.0,0.0,0.0,2.3513,0.0,0.0,0.0,0.0,0.0,0.0,0.4243400000000008,0.0,0.0,0.4243400000000008,0.22955999999999932,0.16000000000000014,0.0,0.0,0.0,0.6539100000000015,0.0,1.6069499999999994,1.4191299999999991,0.57043,1.2591300000000007,0.45913000000000004,0.765209999999998,0.7165199999999992,0.048690000000000566,0.0,0.38955999999999946,0.0,0.0,0.0,0.10434000000000054,0.0,0.0,0.11129999999999995,0.0,0.45913000000000004,0.0,0.0,0.0,2.269703812274315e-05,1.0782589755496552,2.269703812274315e-05,2.269703812274315e-05,0.0,0.8069500000000023,0.0,0.0,4.643076170651739e-06,1.0086927060541608,76.7791338867743,4.643076170651739e-06,0.03460061933847669,4.6747131902336037e-05,53.88523982273264,0.3963691904709652
6,2019-06-19,17.76695,0.0,0.0,0.0,0.0,2.1217299999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.5008599999999994,0.0,0.0,0.35478000000000165,0.3408599999999993,0.2365200000000005,0.0,0.0,0.0,0.7095599999999997,0.0,1.5373900000000003,1.48869,0.7026000000000003,1.231300000000001,0.2921700000000005,0.6121700000000008,0.7095599999999997,0.06955999999999918,0.04172999999999938,0.18782000000000032,0.0,0.0,0.0,0.11129999999999995,0.0,0.0,0.18782000000000032,0.0,0.3408599999999993,0.0,0.0,0.04172999999999938,2.269703812274315e-05,0.918257481207867,2.269703812274315e-05,2.269703812274315e-05,0.0,0.2434700000000003,0.0,0.0,4.643076170651739e-06,0.7999945887964035,73.02260288291679,4.643076170651739e-06,0.055542360069736674,4.6747131902336037e-05,54.49726219560367,0.40317525620862327
7,2019-06-20,16.68173,0.0,0.0,0.0,0.0,2.37913,0.0,0.0,0.0,0.0,0.0,0.0,0.5008599999999994,0.0,0.0,0.2921700000000005,0.2365200000000005,0.16694999999999993,0.0,0.0,0.0,0.4243400000000008,0.0,1.641729999999999,1.43304,0.8139099999999981,1.120000000000001,0.2643400000000007,0.37565000000000026,0.9252099999999981,0.06955999999999918,0.0,0.2643400000000007,0.0,0.0,0.0,0.11825999999999937,0.0,0.0,0.14608000000000132,0.0,0.33391000000000126,0.0,0.0,0.0,2.269703812274315e-05,0.8904346005276089,2.269703812274315e-05,2.269703812274315e-05,0.0,0.2365200000000005,0.0,0.03477999999999959,4.643076170651739e-06,0.8417365527000964,70.96347309079643,4.643076170651739e-06,0.03460061933847669,4.6747131902336037e-05,54.99829334259903,0.3126022275459306
8,2019-06-21,15.24869,0.0,0.0,0.0,0.0,2.1634700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.5286899999999992,0.0,0.0,0.3408599999999993,0.16694999999999993,0.09739000000000075,0.0,0.0,0.0,0.45913000000000004,0.0,1.474779999999999,1.2869499999999992,0.765209999999998,1.21739,0.17391000000000112,0.4660800000000016,0.7304300000000001,0.05564999999999998,0.0,0.15304000000000073,0.0,0.0,0.0,0.17391000000000112,0.0,0.0,0.11129999999999995,0.0,1.5582600000000006,0.0,0.0,0.0,2.269703812274315e-05,1.015650850542304,2.269703812274315e-05,2.269703812274315e-05,0.0,0.2643400000000007,0.0,0.0,4.643076170651739e-06,0.8834785166037857,62.977394003476405,4.643076170651739e-06,0.10423190726991116,4.6747131902336037e-05,43.72168950233471,0.3544857090084488
9,2019-06-22,14.49043,0.0,0.0,0.0,0.0,2.5878200000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.3200000000000003,0.0,0.0,0.5982599999999998,0.21565000000000012,0.11825999999999937,0.0,0.0,0.0,0.38260000000000005,0.0,1.5165199999999999,1.530429999999999,0.7443399999999976,1.0365199999999994,0.13217000000000034,0.4660800000000016,0.7165199999999992,0.0,0.0,0.14608000000000132,0.0,0.0,0.0,0.12521000000000093,0.0,0.0,0.18085999999999913,0.0,0.9808599999999998,0.0,0.0,0.0,2.269703812274315e-05,0.9600050891817844,2.269703812274315e-05,2.269703812274315e-05,0.0,0.11825999999999937,0.0,0.0,4.643076170651739e-06,0.7513014820391124,54.65739090718756,4.643076170651739e-06,0.04140668507613654,4.6747131902336037e-05,26.907565869207417,0.3963691904709652
