,기간,스트레이키즈
995,2022-03-04,2.44063
996,2022-03-05,2.46527
997,2022-03-06,2.47143
998,2022-03-07,3.06837
999,2022-03-08,2.26766
1000,2022-03-09,2.29794
1001,2022-03-10,2.25893
1002,2022-03-11,2.23584
1003,2022-03-12,2.45347
1004,2022-03-13,2.57973
1005,2022-03-14,2.64235
1006,2022-03-15,2.97342
1007,2022-03-16,2.92774
1008,2022-03-17,4.68931
1009,2022-03-18,10.28815
1010,2022-03-19,8.33358
1011,2022-03-20,6.19578
1012,2022-03-21,6.48476
1013,2022-03-22,6.40109
1014,2022-03-23,5.53622
1015,2022-03-24,5.3499
1016,2022-03-25,6.29587
1017,2022-03-26,5.63374
1018,2022-03-27,4.62053
1019,2022-03-28,4.60872
1020,2022-03-29,12.17239
1021,2022-03-30,15.00313
1022,2022-03-31,10.33588
1023,2022-04-01,8.06463
1024,2022-04-02,7.60473
1025,2022-04-03,7.76641
1026,2022-04-04,5.69533
1027,2022-04-05,4.21401
1028,2022-04-06,4.17962
1029,2022-04-07,4.57023
1030,2022-04-08,5.26315
1031,2022-04-09,4.65184
1032,2022-04-10,4.45731
1033,2022-04-11,4.03436
1034,2022-04-12,4.06413
1035,2022-04-13,3.98406
1036,2022-04-14,4.37107
1037,2022-04-15,4.09442
1038,2022-04-16,3.61142
1039,2022-04-17,4.17603
1040,2022-04-18,3.4559
1041,2022-04-19,3.30192
1042,2022-04-20,3.39636
1043,2022-04-21,3.44461
1044,2022-04-22,3.1854
1045,2022-04-23,3.43896
1046,2022-04-24,3.31013
1047,2022-04-25,3.38353
1048,2022-04-26,3.64222
1049,2022-04-27,3.46514
1050,2022-04-28,3.38045
1051,2022-04-29,4.47373
1052,2022-04-30,4.9095
1053,2022-05-01,4.79966
1054,2022-05-02,4.55586
1055,2022-05-03,3.38866
1056,2022-05-04,3.09763
1057,2022-05-05,2.89643
1058,2022-05-06,2.9031
1059,2022-05-07,2.92312
1060,2022-05-08,2.8374
1061,2022-05-09,2.78145
1062,2022-05-10,2.69111
1063,2022-05-11,2.77786
1064,2022-05-12,2.86717
1065,2022-05-13,2.70446
1066,2022-05-14,2.77375
1067,2022-05-15,2.61053
1068,2022-05-16,2.62798
1069,2022-05-17,2.49556
1070,2022-05-18,2.44166
1071,2022-05-19,2.48221
1072,2022-05-20,2.59872
1073,2022-05-21,3.10122
1074,2022-05-22,2.47605
1075,2022-05-23,2.4704
1076,2022-05-24,2.12189
1077,2022-05-25,2.19221
1078,2022-05-26,2.02642
1079,2022-05-27,2.05054
1080,2022-05-28,2.28973
1081,2022-05-29,2.60899
1082,2022-05-30,3.33477
1083,2022-05-31,2.78556
1084,2022-06-01,2.48683
1085,2022-06-02,2.17886
1086,2022-06-03,2.30308
1087,2022-06-04,2.36313
1088,2022-06-05,2.36518
1089,2022-06-06,2.73423
1090,2022-06-07,2.55715
1091,2022-06-08,2.51403
1092,2022-06-09,3.41997
1093,2022-06-10,2.75322
1094,2022-06-11,2.7332
1095,2022-06-12,2.95802
