,기간,방탄소년단
199,2019-12-29,33.39192
200,2019-12-30,44.20653
201,2019-12-31,37.36209
202,2020-01-01,63.86794
203,2020-01-02,34.99025
204,2020-01-03,27.32618
205,2020-01-04,34.29204
206,2020-01-05,51.08343
207,2020-01-06,34.29487
208,2020-01-07,31.00196
209,2020-01-08,36.90745
210,2020-01-09,35.04038
211,2020-01-10,34.09649
212,2020-01-11,23.98574
213,2020-01-12,24.19471
214,2020-01-13,27.48526
215,2020-01-14,27.8326
216,2020-01-15,26.83788
217,2020-01-16,24.67736
218,2020-01-17,39.42637
219,2020-01-18,34.22827
220,2020-01-19,24.43286
221,2020-01-20,24.43639
222,2020-01-21,24.84797
223,2020-01-22,25.78975
224,2020-01-23,27.26006
225,2020-01-24,24.30249
226,2020-01-25,21.31716
227,2020-01-26,20.63824
228,2020-01-27,41.0407
229,2020-01-28,24.93269
230,2020-01-29,33.7868
231,2020-01-30,30.75228
232,2020-01-31,28.34702
233,2020-02-01,27.86767
234,2020-02-02,26.82
235,2020-02-03,29.01629
236,2020-02-04,25.94883
237,2020-02-05,25.33698
238,2020-02-06,24.75996
239,2020-02-07,25.03647
240,2020-02-08,23.4532
241,2020-02-09,24.14106
242,2020-02-10,34.18756
243,2020-02-11,27.56622
244,2020-02-12,26.69504
245,2020-02-13,27.40549
246,2020-02-14,27.56269
247,2020-02-15,23.94997
248,2020-02-16,22.71287
249,2020-02-17,32.81985
250,2020-02-18,37.97606
251,2020-02-19,30.55767
252,2020-02-20,35.40089
253,2020-02-21,81.69594
254,2020-02-22,56.86796
255,2020-02-23,43.22428
256,2020-02-24,45.28784
257,2020-02-25,49.37685
258,2020-02-26,38.58555
259,2020-02-27,48.76477
260,2020-02-28,60.38772
261,2020-02-29,42.28604
262,2020-03-01,45.31797
263,2020-03-02,38.41612
264,2020-03-03,37.07712
265,2020-03-04,34.35511
266,2020-03-05,43.05202
267,2020-03-06,41.08564
268,2020-03-07,36.31937
269,2020-03-08,39.9862
270,2020-03-09,42.42135
271,2020-03-10,36.47515
272,2020-03-11,30.01383
273,2020-03-12,27.53704
274,2020-03-13,30.09384
275,2020-03-14,28.99487
276,2020-03-15,27.10521
277,2020-03-16,25.82057
278,2020-03-17,25.2885
279,2020-03-18,24.19824
280,2020-03-19,23.17717
281,2020-03-20,22.7397
282,2020-03-21,24.48322
283,2020-03-22,22.843
284,2020-03-23,22.87242
285,2020-03-24,23.27177
286,2020-03-25,22.0196
287,2020-03-26,23.60287
288,2020-03-27,23.0861
289,2020-03-28,20.46952
290,2020-03-29,21.34681
291,2020-03-30,23.36919
292,2020-03-31,25.89611
293,2020-04-01,24.83338
294,2020-04-02,21.26021
295,2020-04-03,20.53117
296,2020-04-04,20.11017
297,2020-04-05,20.69213
298,2020-04-06,21.67838
299,2020-04-07,22.39
300,2020-04-08,23.41696
301,2020-04-09,21.22303
302,2020-04-10,21.86382
303,2020-04-11,20.25066
304,2020-04-12,20.88957
305,2020-04-13,22.0942
