,기간,운동화,데일리즈,김건희옷,교련복,마르조썸머인견팬츠,반팔크롭자켓,세루티자켓,올리비아로렌티셔츠,비비안마이핏네모팬티,안나수이원피스,항균여자사각팬티,나이스,행텐10320-150-404-51,리린,법복,모르간썸머원피스,한지민가디건,스프리스기능성바람막이,쿨스판골지여자밴딩와이드바지,에바큐브,여성정장하객룩,나이키더블스우시후드집업,마틴발썸머울카라니트,여성여름정장,유니클로마르니,딜레탕티즘,셀린느티셔츠,닉스조거팬츠,클로앤차이가디건형니트,디키즈874여자,반팔청자켓,레이지카키하프조거팬츠,테이퍼드세미와이드청바지,남성린넨체크셔츠,트위드반팔,남자무지트임브이넥,마드제이,테이핑브라,데일리셔링청롱원피스,여성반팔가디건,유에르,지오다노101221,커클랜드티셔츠,헬스오버핏반팔티셔츠,테니스원피스,노가다망사작업조끼,텐셀배기진,러브이즈트루,가니송,신혼부부,리스트바지,여성롱원피스,폴로반팔셔츠,리바이스쿨진여성,엉뽕,쿨스판스판팬츠,비비안컴포트브라팬티,트임밴딩롱스커트,질염예방여성면팬티,마리나요팅티셔츠,바스락스커트,달고나라인린넨원피스,비뮤즈맨션,김나영실리콘니플패치니플패드,다다있어민소매,리더잭텐셀풀스트링팬츠,올앤선드리원피스,자바나스반팔,골지니트여성니트
0,2019-06-09,9.71787,0.01277,0.0,0.20653,0.0,0.040458000629216784,2.699918311144245e-06,0.1234971889585168,2.699918311144245e-06,0.021292361930063564,0.00014011850266015813,10.91453748277411,0.00014011850266015813,17.738738876397296,0.24060685393378467,5.613399496340321e-06,5.613399496340321e-06,2.699918311144245e-06,2.699918311144245e-06,0.04684376135167767,2.699918311144245e-06,3.0878799019973258e-06,3.0878799019973258e-06,0.33642167641514753,3.0878799019973258e-06,0.010648064349476627,0.15969531585444763,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.03832698382800004,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.04684376135167767,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.04897477815289619,2.699918311144245e-06,2.699918311144245e-06,0.03832698382800004,2.699918311144245e-06,0.23208913975258127,2.699918311144245e-06,2.699918311144245e-06,0.23421772666006824,0.025553032489345817,1.4904727850742914,0.2299605528450943,0.48546873834291304,0.8133731776325943,2.699918311144245e-06,0.24699410789245047,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.05323195196787012,2.699918311144245e-06,0.0915586657712888,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.1660835064706383,2.699918311144245e-06,2.699918311144245e-06
1,2019-06-10,9.16214,0.02555,0.0,0.24486,0.0,0.014905238164450552,2.699918311144245e-06,0.10859222081864583,2.699918311144245e-06,0.023535781687515467,0.00014011850266015813,16.887001609916,0.00014011850266015813,22.37197382326114,0.30022616003434965,5.613399496340321e-06,0.012778364709476797,2.699918311144245e-06,2.699918311144245e-06,0.05962014258406079,2.699918311144245e-06,3.0878799019973258e-06,3.0878799019973258e-06,0.30661161072568976,3.0878799019973258e-06,0.017036254965668185,0.17246926719310096,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.021293428780642998,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.04684376135167767,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.051103365060382266,2.699918311144245e-06,2.699918311144245e-06,0.02981020630432063,2.699918311144245e-06,0.23421772666006824,2.699918311144245e-06,2.699918311144245e-06,0.18311706151799623,0.027681619396834556,0.7558843218743316,0.16395248966942155,0.44288485072451955,0.7473651144569233,2.699918311144245e-06,0.1660835064706383,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.07665369763141783,2.699918311144245e-06,0.10433504700367102,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.12988537957470747,0.010648064349476627,2.699918311144245e-06
2,2019-06-11,9.41339,0.0,0.0,0.23634,0.0,0.014905238164450552,2.699918311144245e-06,0.11710899834232436,2.699918311144245e-06,0.019209186441000448,0.00014011850266015813,14.55769092460746,0.00014011850266015813,23.38336368357981,0.24273803369526448,5.613399496340321e-06,5.613399496340321e-06,2.699918311144245e-06,2.699918311144245e-06,0.634515989847884,2.699918311144245e-06,3.0878799019973258e-06,3.0878799019973258e-06,0.3108655437012917,3.0878799019973258e-06,2.699918311144245e-06,0.12988537957470747,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.021293428780642998,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.040458000629216784,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.06600833320025323,2.699918311144245e-06,2.699918311144245e-06,0.02981020630432063,2.699918311144245e-06,0.2086673940890318,2.699918311144245e-06,2.699918311144245e-06,0.15969531585444763,0.040458000629216784,0.44714202453949436,0.22782953604387668,0.44288485072451955,0.7239457986871054,2.699918311144245e-06,0.1937624259491626,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.04897477815289619,2.699918311144245e-06,0.07026550701522716,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.1426617608070906,0.025553032489345817,2.699918311144245e-06
3,2019-06-12,9.34099,0.01064,0.0,0.2555,0.0,0.025553032489345817,2.699918311144245e-06,0.06813692010773931,2.699918311144245e-06,0.019209186441000448,0.00014011850266015813,16.024727201712558,0.00014011850266015813,23.289677737628086,0.30448493774258356,5.613399496340321e-06,5.613399496340321e-06,2.699918311144245e-06,2.699918311144245e-06,0.11285182452735043,2.699918311144245e-06,3.0878799019973258e-06,3.0878799019973258e-06,0.3172586437372855,3.0878799019973258e-06,2.699918311144245e-06,0.15756672894696067,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.04897477815289619,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.04258658753670286,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.03832698382800004,2.699918311144245e-06,2.699918311144245e-06,0.02981020630432063,2.699918311144245e-06,0.25763947232361595,2.699918311144245e-06,2.699918311144245e-06,0.17885745780929163,0.07878471443263546,0.3939127724899354,0.2214437753214158,0.4918569289591046,0.7047812268385298,2.699918311144245e-06,0.21505558470522335,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.057491555676573824,2.699918311144245e-06,0.07026550701522716,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.10007544329496731,0.010648064349476627,2.699918311144245e-06
4,2019-06-13,8.77887,0.01277,0.0,0.30448,0.0,0.04258658753670286,2.699918311144245e-06,0.13627357019089903,2.699918311144245e-06,0.021292361930063564,0.00014011850266015813,15.413555562075327,0.00014011850266015813,22.527406673260177,0.3406827573552196,5.613399496340321e-06,0.021295920125946388,2.699918311144245e-06,2.699918311144245e-06,0.3151307579756102,2.699918311144245e-06,3.0878799019973258e-06,3.0878799019973258e-06,0.33429064306981626,3.0878799019973258e-06,2.699918311144245e-06,0.10859222081864583,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.034069810013025226,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.04897477815289619,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.07452511072393087,2.699918311144245e-06,2.699918311144245e-06,0.014905238164450552,2.699918311144245e-06,0.2214437753214158,2.699918311144245e-06,2.699918311144245e-06,0.18311706151799623,0.21079598099651964,0.3534550418852982,0.2533822985086429,0.4024295500136139,0.6749712905587897,2.699918311144245e-06,0.2171841716127112,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.06600833320025323,2.699918311144245e-06,0.0915586657712888,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.07878471443263546,0.02981020630432063,2.699918311144245e-06
5,2019-06-14,8.46162,0.0,0.0,0.26189,0.0,0.014905238164450552,2.699918311144245e-06,0.10433504700367102,2.699918311144245e-06,0.023535781687515467,0.00014011850266015813,16.514433685910607,0.00014011850266015813,20.066001503192442,0.31300249315905404,5.613399496340321e-06,0.034072253250650775,2.699918311144245e-06,2.699918311144245e-06,0.10220403020245428,2.699918311144245e-06,3.0878799019973258e-06,3.0878799019973258e-06,0.26615451202463447,3.0878799019973258e-06,2.699918311144245e-06,0.12562577586600288,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.027681619396834556,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.04258658753670286,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.051103365060382266,2.699918311144245e-06,2.699918311144245e-06,0.03619839692051219,2.699918311144245e-06,0.16395248966942155,2.699918311144245e-06,2.699918311144245e-06,0.11498041143483739,0.17246926719310096,0.32151651869807196,0.18098847461050926,0.3513264549778121,0.4790805477267206,2.699918311144245e-06,0.12136860205102806,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.040458000629216784,2.699918311144245e-06,0.04684376135167767,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.14904752152955147,2.699918311144245e-06,2.699918311144245e-06
6,2019-06-15,8.66815,0.0,0.0,0.22569,0.0,2.699918311144245e-06,2.699918311144245e-06,0.16395248966942155,2.699918311144245e-06,0.01071624021636186,0.00014011850266015813,9.947783811580768,0.00014011850266015813,17.704668654731414,0.23847925598703057,5.613399496340321e-06,5.613399496340321e-06,2.699918311144245e-06,2.699918311144245e-06,0.0638797462927645,2.699918311144245e-06,3.0878799019973258e-06,3.0878799019973258e-06,0.3108655437012917,3.0878799019973258e-06,2.699918311144245e-06,0.08304188824761027,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.04258658753670286,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.025553032489345817,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.07878471443263546,2.699918311144245e-06,2.699918311144245e-06,0.03619839692051219,2.699918311144245e-06,0.19163383904167475,2.699918311144245e-06,2.699918311144245e-06,0.16395248966942155,0.06600833320025323,0.2874494086033579,0.26615624984729536,0.39604135939742235,0.47056377020304296,2.699918311144245e-06,0.1660835064706383,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.0447151744441916,2.699918311144245e-06,0.0723965238164439,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.16395248966942155,0.014905238164450552,2.699918311144245e-06
7,2019-06-16,9.69658,0.0,0.0,0.19589,0.0,0.010648064349476627,2.699918311144245e-06,0.10859222081864583,2.699918311144245e-06,0.019209186441000448,0.00014011850266015813,9.549737048901461,0.00014011850266015813,17.76428796083198,0.24060685393378467,5.613399496340321e-06,0.017037142417711593,2.699918311144245e-06,2.699918311144245e-06,0.0447151744441916,2.699918311144245e-06,3.0878799019973258e-06,3.0878799019973258e-06,0.3044805773803576,3.0878799019973258e-06,2.699918311144245e-06,0.18098847461050926,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.05323195196787012,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.034069810013025226,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.05536296876908686,2.699918311144245e-06,2.699918311144245e-06,0.027681619396834556,2.699918311144245e-06,0.18311706151799623,2.699918311144245e-06,2.699918311144245e-06,0.14904752152955147,0.0915586657712888,0.3066115505582019,0.4088153107360748,0.46204699267936356,0.583415324705812,2.699918311144245e-06,0.1384021570983851,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.06600833320025323,2.699918311144245e-06,0.05536296876908686,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.11498041143483739,0.01277665125696359,2.699918311144245e-06
8,2019-06-17,9.61354,0.0,0.0,0.17885,0.0,0.025553032489345817,2.699918311144245e-06,0.08517047515509635,2.699918311144245e-06,0.029945552423090938,0.00014011850266015813,20.229857292787585,0.00014011850266015813,22.68284310507394,0.36197664589639444,5.613399496340321e-06,5.613399496340321e-06,2.699918311144245e-06,2.699918311144245e-06,0.07026550701522716,2.699918311144245e-06,3.0878799019973258e-06,3.0878799019973258e-06,0.30234954403502634,3.0878799019973258e-06,2.699918311144245e-06,0.19589101285664867,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.057491555676573824,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.06174872949154864,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.06600833320025323,2.699918311144245e-06,2.699918311144245e-06,0.034069810013025226,2.699918311144245e-06,0.21079598099651964,2.699918311144245e-06,2.699918311144245e-06,0.17885745780929163,0.1618239027619346,0.4514016282481981,0.21505558470522335,0.4364966601083289,0.5301836427625233,2.699918311144245e-06,0.15756672894696067,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.040458000629216784,2.699918311144245e-06,0.04684376135167767,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.11072323761986347,2.699918311144245e-06,2.699918311144245e-06
9,2019-06-18,9.39422,0.0,0.0,0.20653,0.0,0.014905238164450552,2.699918311144245e-06,0.12136860205102806,2.699918311144245e-06,0.01071624021636186,0.00014011850266015813,16.493121198214812,0.00014011850266015813,23.500474697834182,0.30874371545081924,5.613399496340321e-06,5.613399496340321e-06,2.699918311144245e-06,2.699918311144245e-06,0.24699410789245047,2.699918311144245e-06,3.0878799019973258e-06,3.0878799019973258e-06,0.33002857637915284,3.0878799019973258e-06,2.699918311144245e-06,0.14053074400587384,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.034069810013025226,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.03194122310553915,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.11924001514354199,2.699918311144245e-06,2.699918311144245e-06,0.014905238164450552,2.699918311144245e-06,0.21931275852019816,2.699918311144245e-06,2.699918311144245e-06,0.23421772666006824,0.14053074400587384,0.3853935650725262,0.1746002839943177,0.43436807320084103,0.4918569289591046,2.699918311144245e-06,0.20015061656535327,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.04897477815289619,2.699918311144245e-06,0.07026550701522716,2.699918311144245e-06,2.699918311144245e-06,2.699918311144245e-06,0.12988537957470747,0.03194122310553915,2.699918311144245e-06
