,등장일자,랭킹,키워드,일간검색량,월간검색량
0,2022-05-12,119,욕실규조토발매트,60,2926
1,2022-05-12,274,마켓비옷장,17,1771
2,2022-05-12,334,페이퍼인센스,526,15215
3,2022-05-12,336,옷서랍장,574,10154
4,2022-05-12,439,허리베개,748,11645
5,2022-05-12,441,론체어,758,20975
6,2022-05-12,461,슈퍼싱글매트리스추천,220,3575
7,2022-05-13,144,쪽가위,124,4465
8,2022-05-13,281,소음재,20,60
9,2022-05-13,309,모래멍,444,11437
10,2022-05-13,388,책상컴퓨터의자,408,8773
11,2022-05-13,434,양면암막커튼,54,519
12,2022-05-13,439,학생책상의자,345,5593
13,2022-05-13,453,릴리4인용세라믹식탁,305,4871
14,2022-05-13,465,컴퓨터학생의자,189,5332
15,2022-05-14,100,빨아쓰는발매트,10,321
16,2022-05-14,132,헬시메이트블랙라벨기능성메모리폼경추베개,42,338
17,2022-05-14,260,장미맨숀,32465,238286
18,2022-05-14,499,사무용책상의자,244,13185
19,2022-05-15,21,실내용디퓨저,42,725
20,2022-05-15,67,실내용천연디퓨저,34,825
21,2022-05-15,90,무볼트앵글,114,2853
22,2022-05-15,326,모던티비다이,132,3547
23,2022-05-15,479,편백깔판,27,731
24,2022-05-17,65,르올바디필로우,52,127
25,2022-05-17,148,실내분수,77,1818
26,2022-05-17,412,우드행거,75,2774
27,2022-05-17,436,원목침대프레임ss,0,7841
28,2022-05-18,119,헤링본쿨매트,19,680
29,2022-05-18,143,여름이불60수,0,59
30,2022-05-18,448,태양열조명,285,7835
31,2022-05-18,483,방수베개커버,126,7244
32,2022-05-19,149,아쿠아텍스3인용패브릭소파,0,5748
33,2022-05-19,226,에르고휴먼,2760,5163
34,2022-05-19,282,잠솔솔,33,826
35,2022-05-19,299,리빙제이,54,1448
36,2022-05-19,410,발릴라,45,1156
37,2022-05-19,460,화이트소프트매트리스,10,5004
38,2022-05-19,468,마켓비모듈수납장,57,156
39,2022-05-20,30,메모리폼매트리스ss,12,219
40,2022-05-20,62,거실속커튼,10,566
41,2022-05-20,76,거실쉬폰커튼,27,1245
42,2022-05-20,90,무지천,8,237
43,2022-05-20,107,린즈홈,44,1421
44,2022-05-20,349,코난범인무드등,859,5568
45,2022-05-20,403,프리미엄,1045,20825
46,2022-05-20,433,기능성,59,1954
47,2022-05-20,449,시디즈메쉬의자,23,625
48,2022-05-20,500,트웸코,326,2765
49,2022-05-21,405,컴퓨터사무용의자,56,7254
50,2022-05-21,417,비정형거울,239,7874
51,2022-05-21,491,책상사무용의자,4,5784
52,2022-05-21,497,사무용의자모드니,0,1915
53,2022-05-21,499,골드에디션디퓨저200ml1+1,61,3997
54,2022-05-21,500,방수실리콘식탁매트,0,3550
55,2022-05-22,82,방향제디퓨저,0,104
56,2022-05-22,153,인테리어방향제,0,105
57,2022-05-22,348,알레르망냉감패드,529,15794
58,2022-05-22,499,에이로마골드에디션디퓨저200ml1+1,229,3829
59,2022-05-23,291,이불토퍼,25,613
60,2022-05-23,431,시어서커,1044,29405
61,2022-05-24,291,패브릭스윙소파,56,1328
62,2022-05-24,470,리모컨달무드등,17,49
63,2022-05-24,476,수납침대프레임q,489,6727
64,2022-05-25,118,빨아쓰는거북목베개,30,423
65,2022-05-25,126,원목4인식탁세트,127,5238
66,2022-05-25,164,발매트소형,13,200
67,2022-05-25,172,블랙발매트,8,98
68,2022-05-25,175,바닥토퍼매트리스,34,565
69,2022-05-25,264,아로마버너,25,755
70,2022-05-25,313,원목우드슬랩,52,1528
