,등장일자,랭킹,키워드,일간검색량,월간검색량
0,2022-05-10,133,헤링본규조토발매트,57,335
1,2022-05-10,470,방수가죽식탁매트,322,3294
2,2022-05-11,53,빨아쓰는규조토,75,2669
3,2022-05-11,54,욕실규조토,29,314
4,2022-05-11,279,마켓비주방수납장,19,153
5,2022-05-11,395,방수매트,295,9158
6,2022-05-11,413,마켓비미니수납장,478,15219
7,2022-05-12,119,욕실규조토발매트,59,2632
8,2022-05-12,274,마켓비옷장,17,1593
9,2022-05-12,334,페이퍼인센스,536,14959
10,2022-05-12,336,옷서랍장,596,10744
11,2022-05-12,439,허리베개,780,12156
12,2022-05-12,441,론체어,761,21507
13,2022-05-12,461,슈퍼싱글매트리스추천,224,3696
14,2022-05-13,144,쪽가위,124,4534
15,2022-05-13,281,소음재,20,60
16,2022-05-13,309,모래멍,447,11744
17,2022-05-13,388,책상컴퓨터의자,420,8954
18,2022-05-13,434,양면암막커튼,52,500
19,2022-05-13,439,학생책상의자,355,5660
20,2022-05-13,453,릴리4인용세라믹식탁,308,5551
21,2022-05-13,465,컴퓨터학생의자,194,5392
22,2022-05-14,100,빨아쓰는발매트,10,324
23,2022-05-14,132,헬시메이트블랙라벨기능성메모리폼경추베개,42,338
24,2022-05-14,260,장미맨숀,32711,242385
25,2022-05-14,499,사무용책상의자,245,12284
26,2022-05-15,21,실내용디퓨저,42,725
27,2022-05-15,67,실내용천연디퓨저,34,818
28,2022-05-15,90,무볼트앵글,113,2975
29,2022-05-15,326,모던티비다이,132,3655
30,2022-05-15,479,편백깔판,27,708
31,2022-05-17,65,르올바디필로우,52,127
32,2022-05-17,148,실내분수,77,1820
33,2022-05-17,412,우드행거,74,2845
34,2022-05-17,436,원목침대프레임ss,0,7637
35,2022-05-18,119,헤링본쿨매트,19,683
36,2022-05-18,143,여름이불60수,0,59
37,2022-05-18,448,태양열조명,285,7895
38,2022-05-18,483,방수베개커버,127,7204
39,2022-05-19,149,아쿠아텍스3인용패브릭소파,0,5796
