,제목,링크,내용
0,오월은 푸르구나,https://blog.naver.com/earlytillate?Redirect=Log&logNo=222764159500,"monthly오월은 푸르구나 earlytillate ・ 2시간 전URL 복사 이웃추가본문 기타 기능                   공유하기                일과 여가.. 어떻게 두 마리의 토끼를 다 잡지? ​ 사진만 봐도 더운 오월 초의 룩Outer: 코스 Top: 마리떼 프랑소와 저버Bottom: 유유알..? Shoes: 나이키 Bag: 코스 ​ 어메이징 출근길무슨.. 무슨 사연이 있으신지.. ​ 나이스 웨더 ✨​​​ 안양에 잠깐 왔다 연기처럼 사라진 아경그래두 참 좋았네 ​ 동편마을 오쿠뎅코주박 실패하고 올라타파스 실패한 월요일의 결론 여긴 명란구이 맛집 ​​​​​​ 손목이 삐거덕 거리길래 장만한 버티컬 마우스대~충 알아보고 싼 걸로 샀는데 현재까지 아주 만족!​Cosy 버티컬 무선 마우스 인체공학 손목보호 버티컬 무선마우스 M3163WL ▶ 구경하러가기가격, 상품, 스타일 비교를 한 번에! 쇼핑프로 위메프로!mw.wemakeprice.com ​​​ Top: 라룸Bottom: 코스Bag: 셀린느 ​​​​​​ 차칸 사람에게만 보이는 착장​​​ 카페 반다이크몇 없는 동네 친구 승아랑~ 바로 옆 동이라 창문 열면 보이는 수준인데.. 만나기 쉽지 않은 집순이 둘 ㅋㅋ​​​​​​  어버이날 이벤트 ㅋㅋㅋ 이것은 불효인가 효인가너무너무 못해서 기회 몇 번 더 줬더니;; 겁나 잘하네;; ​​​​​​ 출근길~ 더워서 못 살겠다 자전거를 타고 다녀야 하나​​​​​​ 아빠표 육회비빔밥 ​ 이래놓고 집 가서 야무지게 먹음 육회비빔밥 못 참아 ​​​​​​ 나이키 덩크 레트로 SE 넥스트 네이쳐 썬 클럽 호적메이트 주려고 샀는데 사이즈 미스로.. 뭔 사람 발이 285냐 키가 2메다도 아니고 ​별로 인기 없는 것 같지만 확실히 실물파 내가 신고픔​​​ 뉴발란스 530 하지만 이미 운동화를 장만한 관계로 참아본다 530 유행 막차 탑승 ​ 스틸블루!!! 여름 찰떡템 근데 사이즈가 커도 너무 크게 나온다 -10 추천 ;; ​​​​​​  오월은 푸르구나 🍀☘️🌿🌱​​​​​​ 팀 과장님의 둘째가 태어났다 첫째 기어 다닐 때부터 봤는데 어느새 다 커서 말을 하고 이제는 언니가 되다니.. 세월 참 빠르구나​​​ 범계 떡슐랭 본점아가 선물 사러 간 김에 겸사겸사;; 내 최애 떡볶이 겸사겸사 맞음 아무튼 맞음 ​​​ 신발 한 번만 더 자랑할게요​​​​​​ M365건축 상을 받았다는 베이커리 카페~ 외관이 그리 독특하진 않은 것 같은데 빵 맛집인 건 확실함 ​​​​​​ 야무지게 선점해놓은 10월의 휴가 과연 갈 수 있을까 🇫🇷 or 🇳🇿 ​​​ 어제 먹은 곰젤리 네가 왜 거기서 나와..? ​​​​​​ 시원해 보인다고 칭찬받은 룩 ㅋㅋㅋㅋㅋㅋTop: 페이브 택Vest: 코스Bottom: 코스​​​​​​ 잠실 롯데호텔 월드 결혼식 프로참석러​​​ 석촌호수 제이바웃 꽃 싸주는 결혼식 최고! 그리고 최고의 궁합 맥주와 꽃 ​​​ 인스타 올렸다가 축하할 일 있냐는 말 엄청 들은 사진;; 기대에 부흥하지 못해 죄송할 따름입니다~ ㅋ​​​ ​ 날씨 좋고 기분 좋고(이유: 그냥 주말이라서) ​​​ 석촌호수 카페 라딧프로젝트주말의 잠실.. 송리단길… 인파 사이를 빙글뱅글 헤매다 겨우 들어간 카페.. 커피도 쿠키도 맛있고 좋았다 ​​​​​​ 의왕 타임빌라스 롯데 프리미엄 아울렛 미루고 미루다 밸리곰 떠나기 전 날 방문 이 동네 저 동네 온 동네 사람 다 모인 듯​ 커피도 15분인가 기다려서 받았다 ​ 우연히 커플룩 혼자 가려는데 따라나선 엄마.. 다 속셈이 있던 것이었다.. 커피 얻어먹고 옷 얻어 입고 엄마는 참 좋겠어? ​​​​​​ 감성 퇴근길 여름은 싫지만 여름의 긴 해는 좋으니까 ​​​​​​ 진짜 쓸 얘기 없고 온통 출퇴근길 사진뿐 일하면서 취미 즐기고 공부하고 운동하고 그런 분들은 대체 하루를 몇 시간씩 사시나요 ​​​ 퇴근길 타코야키 플렉스~ 비싸다..​​​​​​ 범계 카페 디아니얼마만야 이 모임.. 보고팠던 련주 ​ 작은 네모 칸 안에 6명이 들어가려니 비좁을 수밖에얼굴이랑 손가락으로 꽉 찬 포토이즘 ㅋㅋ ​​​ 거리 두기 완화되고 택시 대란이라더니.. 기다리다 기다리다 못 참고 킥보드 귀가 ^^ 안전 운행~ ​​으 유월 블챌 전에 오월 빵꾸낼 수 없으니 급하게 작성결국은 돈이 날 일하게 하는군아.. ​ "
1,[웬디의 영스트리트] 레드벨벳 웬디 출근길 옷 정보  +)옐로우... ,https://blog.naver.com/serailac_1?Redirect=Log&logNo=222764144203,"tv. 드라마 패션 정보[웬디의 영스트리트] 레드벨벳 웬디 출근길 옷 정보  +)옐로우 데님 팬츠 정보!!!💛 serailac ・ 2시간 전URL 복사 이웃추가본문 기타 기능                   공유하기                #웬디의영스트리트 #레드벨벳 #redvelvet #wendy#웬디#라디오 #출근길#아이린 #조이#슬기 #예리#옷정보#데님팬츠#마리떼프랑소와저버 ​​​​​​​​​​​​​​​ ​​​​​​​​​​​안녕하세요.serailac 입니다.  ​​​​​​​​​​​오늘은 레드벨벳 웬디씨의 라디오 출근길 옷 정보를 가져왔습니다   ​​​​​​​​​​​​ ​​​​​​​​​​​.​​​​​​​​​.​​​​​​​​​​.​​​​​​​​이 데님팬츠의 브랜드는 ​​​​​​​​​​ MARITHEFRANCOIS GIRBAUD마리떼 프랑소와 저버 입니다 ​​​​​​​​​​​​​​ W COULEUR DENIM PANTS yellow​​​​​​​​ ​​​​​옐로우 컬러의 데님팬츠입니다 ​​​​​​​​​ ​​​​스트레이트 핏의 팬츠로핏감이 예쁜것 같아요   ​​​​​​​​ ​​​​무엇보다 옐로우 컬러라니포인트가되고 너무 이쁜 컬러감이죠!  ​​​​​​​​​​​그럼 다음 옷정보로 오겠습니당 ​​​​​​​​​​​출처: topstarnews,  마리떼 프랑소와 저버  "
2,GIRBAUD  마리떼 프랑소와 저버  MARITHE JACQUARD KNIT... ,https://blog.naver.com/tak_dragon?Redirect=Log&logNo=222763863336,"드라마예능방송링크  문가영  니트 스웨터    MARITHE FRANCOIS GIRBAUD  마리떼 프랑소와 저버  MARITHE JACQUARD KNIT brown 1회 옷 패션 탁드래곤 ・ 9시간 전URL 복사 이웃추가본문 기타 기능                   공유하기                1화#하이라이트# 여진구X문가영 시작된 감정공유...♡​#링크 #tvN #여진구 #문가영 #송덕호 #이봄소리 #예수정 #김지영 #판타지로맨스 #티빙에서스트리밍  ​#링크 #여진구 #문가영​링크: 먹고 사랑하라, 죽이게 Link: Eat, love, kill EP.01​18년 만에 다시 시작된 링크, 한 남자가 낯선 여자의 온갖 감정을 느끼며 벌어지는 감정공유 판타지 로맨스​매주 [월.화] 밤 10시 30분 본방송영상물 등급 15세 이상 시청가프로그램 링크방영일 2022.06.06. 회차 1카테고리 드라마  링크  먹고 사랑하라  죽이게  1회​​​문가영 가디건 보러가기 Previous imageNext image MARITHE FRANCOIS GIRBAUD  마리떼 프랑소와 저버 MARITHE JACQUARD KNIT brown  다른 방송정보 아래 링크 클릭!!! 링크 문가영 지갑 ​비비와이비 Lucio Wallet Chain Cross Bag (Jade Black)09K3222W2K-1206 먹고 사랑하라 죽이게 1회 옷 패션1화#하이라이트# 여진구X문가영 시작된 감정공유...♡ #링크 #tvN #여진구 #문가영 #송덕호 #이봄소리 #...blog.naver.com 우리들의 블루스 신민아 스카프 구찌 GG 프린트 별 실크 넥 보우 18회 옷 패션느긋한 김혜자X고두심에 괴로운 이병헌, 순탄치 않은 목포행 | tvN 220605 방송 #우리들의블루스 #tvN #...blog.naver.com 우리들의 블루스 신민아 스트라이프 티셔츠 SAINT JAMES 세인트제임스 Minquiers 18 (207) 18회 옷 패션느긋한 김혜자X고두심에 괴로운 이병헌, 순탄치 않은 목포행 | tvN 220605 방송 #우리들의블루스 #tvN #...blog.naver.com 우리들의 블루스 한지민 니트 가디건 앤유 AND YOU LILAC Floral cardigan (Brown) 18회 옷 패션느긋한 김혜자X고두심에 괴로운 이병헌, 순탄치 않은 목포행 | tvN 220605 방송 #우리들의블루스 #tvN #...blog.naver.com 미우새 딘딘 티셔츠 CPFM ""I Like You You're Different"" Longsleeve Orange 295회 옷 패션소유진, 백종원에게 혼난 이야기하며 억울함 호소! #소유진#백종원#소유진억울#미운우리새끼다시보기 #미운...blog.naver.com 런닝맨 전소민 운동화 Nike_Sakai_Vapor Waffle DM7901-500 606회 옷 패션런닝맨 멤버들, 김종국의 급 홍예지 허그에 노발대발! #김종국 #홍예지 #송지효 #런닝맨605회 #런닝맨605회...blog.naver.com 런닝맨 유재석 운동화 신발 반스 애너하임 OG SCENES 어센틱 스카이블루 VN0A5KX4AXC 606회 옷 패션런닝맨 멤버들, 김종국의 급 홍예지 허그에 노발대발! #김종국 #홍예지 #송지효 #런닝맨605회 #런닝맨605회...blog.naver.com 런닝맨 지석진 바지 COMME DES GARÇONS 패치워크 패턴 팬츠 606회 옷 패션런닝맨 멤버들, 김종국의 급 홍예지 허그에 노발대발! #김종국 #홍예지 #송지효 #런닝맨605회 #런닝맨605회...blog.naver.com 런닝맨 조세호 시계 러버비 워치 606회 옷 패션런닝맨 멤버들, 김종국의 급 홍예지 허그에 노발대발! #김종국 #홍예지 #송지효 #런닝맨605회 #런닝맨605회...blog.naver.com ​ ​ "
3,아기랑 산책룩의 완성 소라게모자 득템 (마리떼),https://blog.naver.com/thgid423?Redirect=Log&logNo=222763858962,소비요정아기랑 산책룩의 완성 소라게모자 득템 (마리떼) sohyangart ・ 9시간 전URL 복사 이웃추가본문 기타 기능지도로 보기 전체지도지도닫기                   공유하기                위치현대백화점 신촌점아기랑 마실룩의 완성은 역시 소라게 모자..?!!!​홍제천 산책나갈때마다 뭔가 다른 엄마들은 우아하더라.. 나는 맨날 추리닝바람인데 다들 아기랑 산책하러 나올때 원피스에 우아한 모자를 쓰고 나오더롸…?밀짚모자 스타일이라던지… 그렇다던지..라피아햇? 보넷?뭔가 그런모자 ㅎㅎ   나도 헬렌카민스키가 있었으나 넘나 두통유발모자인…터라 당근해버리고 ㅋㅋ​캡모자랑 폴로모자만 열심히 썼는뎅 뭔가 여자같은 모자가 갖고 싶었음 … 근데 또 나의 거지룩 ( 그런지룩) 에 맞는 그런 모자가 땡겼는데 겟하였다.  존예네 ? ㅎㅎㅎ 소라게룩 완성 ㅋ 마실룩완성  마리떼 프랑소와 저버 에서 버킷햇 득템 마리떼프랑소와저버 써클로고써머버킷햇 이구나세상 영어로만 적혀있다 ㅋㅋ 우리나라 다덜 유ㅐ이럼한국말로 살아봅시다 …?롸 나 한국사람  써보고 편하고 소라게룩 마실갈때 노세수룩에 딱이어서 겟겟 신촌현백 갔다가 겟하였다.  밑에 버킷햇은 약간 밀짚모자 스타일이지만 뜨개모자.뜨개가 여름실이어서 머리가 시원~~  거기다 얼굴도 잘 가려줌 ㅋ 신촌현백 팝업스토어에서 구입함 … 인토넷으로 사면 좀더 쌌겠지만 그래도 모자는 써봐야 아니까 …만족스러운 쇼핑 😇😎 34000원 구입 얼굴 잘 가려줘서 좋은데 저 모자 큰 구멍에 이마가 마주하면 약간 변발같음 😇 쓸때 구멍 조준 필요  ㅋㅋㅋㅋ 완전 대충룩은 안된다.. 거울은 보고 써야함 이건 거울 안보고 뒤집어쓰기 쌉가능대신에 날아갈수 있음 주의해야 한다  허나 내 머리에선 안날아갈것같기도함 데헷 분명 나도 원피스에 산책할때 쓰려고 사긴 했지만 사실 산책은 …추리닝아닙까 …? ㅋㅋㅋㅋ 자아갈등중인 솨람 …친구도 사귀고 싶은데 애엄마중에 나만 그런지룩이라…원피스는 많긴한데 왜때문에 산책때 입기는 남사스러운… 헤헤 😎​암턴 이번 여름 모자는 또 이거로 돌려써야지  ​​​#일상블로그 #소비일기 #소비요정 #여름모자 #마실룩 #뜨개모자 #여름뜨개모자 #여름모자 #마리떼프랑소와저버  
4,웬디 영스트리트 출근룩 패션 옷 스트라이프 티셔츠 가디건... ,https://blog.naver.com/jju6004?Redirect=Log&logNo=222763758608,방송정보웬디 영스트리트 출근룩 패션 옷 스트라이프 티셔츠 가디건 옐로우 데님 팬츠 로에베 아나그램 가방 핑크색 포럼 스니커즈 신발 의상 스타일 김오브 ・ 11시간 전URL 복사 이웃추가본문 기타 기능                   공유하기                ＃웬디영스트리트출근룩옷 ＃웬디영스트리트출근룩패션 ＃웬디영스트리트출근룩의상 ＃웬디영스트리트출근룩스트라이프티셔츠 ＃웬디영스트리트출근룩가방 ＃웬디영스트리트출근룩아나그램가방 ＃웬디스트라이프티셔츠 ＃웬디스트라이프가디건 ＃웬디로에베아나그램가방 ＃웬디아디다스포럼스니커즈 ＃웬디아디다스포럼신발 ＃웬디옐로우데님팬츠 SBS 파워FM 웬디의 영스트리트 🎀레드벨벳 웬디출근룩 패션 & 옷 정보​   ​​네이비 스트라이프 카라 티셔츠에파스텔 톤의 옐로우 데님팬츠를 매치해핑크색 포럼 스니커즈와 아나그램 패턴의미니 숄더백을 포인트줬어요 :)​​🍑웬디가 착용한 패션아이템을 살펴봅니다.​​  ​​ 웬디 영스트리트 카라 스트라이프 티셔츠 가디건  UNIIS DESIGN 유니스디자인STRIPE HALF CARDIGAN_NAVY​​​시원한 스트라이프 패턴이 매력적인 가디건.경쾌한 기장감과 적당한 핏으로 단품으로 입거나가볍게 툭 걸쳐 가디건으로 활용해도 좋아요.​탄탄한 와플 원단에 변형 가공을 하여유니크한 패턴과 텍스쳐가 돋보이는 제품이에요.​  ​  MARITHE FRANCOIS GIRBAUD 마리떼 프랑소와 저버W COULEUR DENIM PANTS yellow​​간결하게 떨어지는 스트레이트 핏의옐로우 컬러 데님 팬츠에요.롱한 기장감에 밑단 로우 엣지 디테일과라이트한 파스텔 톤으로 화사하게 입기 좋아요.​​  ​​WENDY STYLE LOOK  ​​상콤 그 자체!​​  ​ 웬디 영스트리트 로에베 숄더백 원통 가방 LOEWE 로에베ANAGRAM CUT OUT BAG​​아나그램 패턴의 컷아웃 송아지 가죽으로제작된 다용도 포켓용 숄더백이에요.캔버스 소재의 내부 파우치가 구성된 제품.​​  ​ 웬디 영스트리트 핑크색 아디다스 포럼 스니커즈 신발 ADIDAS 아디다스FORUM BOLD SNEAKERS​​​꾸준히 인기가 좋은 포럼 볼드 스니커즈 제품.웬디는 핑크 색상을 착용했어요 :)​​​​<웬디 영스트리트> 출근룩 옷 패션 웬디 영스트리트 출근룩 옷 패션 크롭 티셔츠 청바지 데님 팬츠 가방 코인 목걸이 신발 샌들 스니커즈 의상 스타일＃웬디영스트리트출근룩옷 ＃웬디영스트리트출근룩패션 ＃웬디영스트리트출근룩데님팬츠 ＃웬디영스트리트...blog.naver.com <링크> 1회 문가영 옷 패션 의상 스타일 링크 문가영 옷 코트 가디건 트레이닝복 후드 티셔츠 니트 아가일 조끼 베스트 스웨터 백팩 가방 패션 의상 스타일＃링크1회문가영옷 ＃링크문가영옷 ＃링크문가영패션 ＃링크문가영코트 ＃링크문가영백팩가방 ＃링크문가영...blog.naver.com <제니 브이로그> 아디다스 조끼 가방 나이트루틴 제니 브이로그 옷 아디다스 네이비 조끼 민트색 폼롤러 가방 탬버린즈 바디로션 인센스 향 제품 스타일 정보＃제니브이로그조끼 ＃제니브이로그민트색폼롤러 ＃제니브이로그아디다스조끼 ＃제니브이로그인센스 ＃제니...blog.naver.com <현재는 아름다워> 20회 남보라 신동미 최예빈 옷 현재는 아름다워 20회 남보라 신동미 최예빈 옷 니트 베스트 조끼 바지 세트 수트 가방 패션 의상 스타일＃현재는아름다워20회신동미옷 ＃현재는아름다워20회신동미패션 ＃현재는아름다워20회신동미의상 ＃현재는...blog.naver.com <더블유코리아> 장원영 왓츠인마이백 제품 더블유코리아 장원영 왓츠인마이백 셔츠 완더 가방 컬러 렌즈 카드지갑 두유 선크림 비타민 영양제 미우미우 제품 정보＃더블유코리아장원영인마이백 ＃더블유코리아장원영셔츠 ＃더블유코리아장원영가방 ＃더블유코리아장원영...blog.naver.com <왜 오수재인가> 2회 서현진 옷 패션 왜 오수재인가 2회 서현진 옷 트위드 자켓 원피스 귀걸이 가방 패션 의상 협찬 스타일＃왜오수재인가2회서현진옷 ＃왜오수재인가서현진원피스 ＃왜오수재인가2회서현진귀걸이 ＃왜오수재인가2회...blog.naver.com <우리들의 블루스> 신민아 한지민 옷 패션 우리들의 블루스 18회 신민아 한지민 옷 배색 가디건 스카프 스트라이프 맨투맨 티셔츠 가방 패션 의상 스타일＃우리들의블루스18회신민아옷 ＃우리들의블루스18회신민아가디건 ＃우리들의블루스18회신민아자켓 ＃우리...blog.naver.com <이브> 1회 2회 서예지 유선 옷 패션 이브 서예지 유선 옷 자켓 코트 니트 가디건 스커트 버킷햇 모자 가방 시계 패션 의상 협찬 스타일＃이브서예지옷 ＃이브1회서예지옷 ＃이브2회서예지패션 ＃이브서예지니트 ＃이브서예지가방 ＃이브서예지...blog.naver.com ​ 
5,마리떼프랑소와저버... 데님 / 마리떼 곰돌이키링... ,https://blog.naver.com/dbwlgml98?Redirect=Log&logNo=222763733121,"사는 삶마리떼프랑소와저버 더현대서울에서 납작복숭아 DONUT PEACH TEE white 티셔츠 /COULEUR DENIM PANTS yellow 옐로우 데님 / 마리떼 곰돌이키링 구매 희지유 ・ 11시간 전URL 복사 이웃추가본문 기타 기능지도로 보기 전체지도지도닫기                   공유하기                위치마리떼프랑소와저버 현대백화점 더현대 서울​ 마리떼프랑소와저버 더현대서울 납작복숭아 donut peach 티셔츠,w couleur denim pants yellow, frang keyring일단 떼샷..❤💛💙​​ 마리떼프랑소와저버 더현대서울매장 위치는지하2층, mlb, 게스 근처에 closer라는 매장 안에 속해있습니다.​​  마리떼프랑소와저버 현대백화점 더현대 서울서울특별시 영등포구 여의대로 108 생각보다 매장 규모가 꽤 크더라구요!!저는 마리떼프랑소와저버 티셔츠 두 개를 소장하고 있는데이번에 바지랑 도넛피치티셔츠 그리고 곰돌이키링까지 지른 소비일기를 써보려 해요 ㅎㅎ​  기본 네이비 티셔츠랑 ​​  볼캡.  맨투맨. 비니. 셔츠 등​  마리떼프랑소와저버 머리띠도 보이더라구요~?​​ 마리떼프랑소와저버 기본 시그니처 로고 티셔츠도.저 구매한 지 일년 다 되가는데 티셔츠 목늘어남도 없이 멀쩡해요!​​  차정원님이 모델로 입으신 스트라이프 린넨팬츠도 보였어요.실물 예쁘던데요?​​ 이 바지들중에... 갑자기 저 레몬색의 데님바지가 끌리는거에요.그리고 독특한 디자인​​ 라벨이 저기 붙여져있는게 급 귀여워서 포인트바지로 좋겠다는 생각이 들었어요.​​​ 그리고... 귀여운 마리떼프랑소와저버 곰돌이키링..색은 베이지랑 하늘색이 있는데 베이지는 흔해서 걍 내가좋아하는 하늘색으로!​​ 그리고 이 티셔츠는 s사이즈가 매장 품절이라서주문해서 택배로 받았답니다! 실물 보니까 더 귀여운 프린팅이더라고요.​ 조이님 인스타그램에서도 봤어요! 조이님이 착용하니 찰떡저는 원래 납작복숭아를 좋아하고 납작복숭아 관련 굿즈를사고싶어하던 사람이라 이거 나오자마자 헐레벌떡 구매함요.​​​  언박싱​ ✔W COULEUR DENIM PANTS yellow 25사이즈.​저는 참고로 밑단을 좀 수선했습니다....ㅎㅎ​사이트에서 25사이즈는 품절이네요!값은 129000원. 저 가운데 택에 반해서 구매했다고 해도 과언이 아닙니다..​ 이 색에 제일 가까워요! 정말 상큼한 색상기분좋아지는 색상, 부드러운 버터 색상이에요.​​  버클도 디테일이 있답니다.💛​​  자연광 아래서 본 색감. 맘에 들어요...크게 부담스럽지 않답니다. 그리고 약간 일자핏인데 통이 좀 있어요!봄마다 잘 착용할 것 같아요.ㅎㅎ​  현재 사이트 공홈에선 s랑 m은 7월 4일 예약배송으로 뜨네요.그냥 디자인이 제 취향이라 샀어요.유럽 가서 납작복숭아 실컷 먹을 수 있는 날이 오길 ​​ ✔DONUT PEACH TEE white, s 사이즈49000원​​  실물 색감 묘하고 예쁜데 사진에서 넘 빨갛게만 나오네요 ,,!납작복숭아 실사가 들어가 있어서 더 맘에 듭니다..로고는 작게 마리떼라고 적혀있어요.s인데 그 기존 네이비 마리떼 티셔츠랑 다르게핏하지 않고 넉넉한 핏감으로 나온 것 같아요.55사이즈도 s 사이즈로 가면 좋을 것 같아요.​​  현재 공홈에서는 품절로 뜨네요!​​  ✔FRANG KEYRING light blue사실 얜 구매 예정에 없던 앤데 실물 보고 반해서 데려옴..25000원. 프랑키링 라이트블루. 마리떼 곰돌이키링..​​  베이지랑 하늘색 둘 중에 뭐할지 5초 고민하다가하늘색으로 픽. 결론은 후회 없다는 거​​  실제로 보면 저 다리가 진짜 귀여움,,;;;롤업한 데님이며.. 미쳤다.​  뒤에 숨막히는 뒷태 꼬리...ㅠㅠ💙​​ ​ 잘한 소비다. 보고만 있어도 배부르니깐...이번주에 납작복숭아 티셔츠 입고 다녀야지! 🍑위시리스트 청산 완료~​​​​​​​​​​​​​​​​​​​​​​​  #위시리스트 #소비일기 #일상블로그 #마리떼프랑소와저버 #마리떼프랑소와저버더현대서울매장 #마리떼더현대서울위치 #마리떼프랑소와저버데님바지 #마리떼프랑소와저버곰돌이키링 #마리떼프랑소와저버복숭아티셔츠 #납작복숭아티셔츠 #마리떼조이티셔츠 #조이납작복숭아티셔츠 #손민수템  "
