,등장일자,랭킹,키워드,일간검색량,월간검색량
0,2022-05-09,294,데일리즈,500,959
1,2022-05-10,238,김건희옷,46991,224187
2,2022-05-12,243,교련복,2027,24584
3,2022-05-12,304,마르조썸머인견팬츠,484,3396
4,2022-05-12,430,반팔크롭자켓,352,9627
5,2022-05-12,476,세루티자켓,757,2965
6,2022-05-13,57,올리비아로렌티셔츠,102,3977
7,2022-05-13,140,비비안마이핏네모팬티,1182,2179
8,2022-05-13,245,안나수이원피스,683,13085
9,2022-05-13,404,나이스,9067,199887
10,2022-05-14,198,행텐10320-150-404-51,326,1752
11,2022-05-14,293,리린,13016,404986
12,2022-05-14,465,법복,994,9822
13,2022-05-15,287,모르간썸머원피스,1041,4775
14,2022-05-15,339,한지민가디건,1608,5828
15,2022-05-15,492,스프리스기능성바람막이,569,1352
16,2022-05-18,253,에바큐브,1476,4424
17,2022-05-18,432,나이키더블스우시후드집업,410,1197
18,2022-05-19,164,마틴발썸머울카라니트,954,3133
19,2022-05-19,398,여성여름정장,674,19505
20,2022-05-20,73,유니클로마르니,38440,129286
21,2022-05-20,355,딜레탕티즘,670,3445
22,2022-05-21,368,셀린느티셔츠,1428,21241
23,2022-05-21,377,닉스조거팬츠,924,3483
24,2022-05-21,429,클로앤차이가디건형니트,1475,3233
25,2022-05-22,210,디키즈874여자,2621,26866
26,2022-05-22,401,반팔청자켓,406,5865
27,2022-05-22,479,레이지카키하프조거팬츠,746,4624
28,2022-05-23,166,테이퍼드세미와이드청바지,81,568
29,2022-05-23,499,트위드반팔,373,10211
30,2022-05-24,457,마드제이,3037,31443
31,2022-05-25,222,테이핑브라,713,1507
32,2022-05-25,418,여성반팔가디건,378,9274
33,2022-05-25,449,유에르,4090,10572
34,2022-05-25,460,지오다노101221,44,1114
35,2022-05-26,446,커클랜드티셔츠,579,7204
36,2022-05-26,488,테니스원피스,483,8976
37,2022-05-27,443,러브이즈트루,768,19233
38,2022-05-27,492,가니송,61,2285
39,2022-05-28,333,신혼부부,192,7053
40,2022-05-28,442,리스트바지,312,8082
41,2022-05-28,460,여성롱원피스,452,13893
42,2022-05-28,488,폴로반팔셔츠,766,21674
43,2022-05-29,403,리바이스쿨진여성,766,1479
44,2022-05-30,214,엉뽕,42,1774
45,2022-06-02,451,마리나요팅티셔츠,417,1292
46,2022-06-02,470,바스락스커트,306,7360
47,2022-06-03,405,비뮤즈맨션,1607,14604
48,2022-06-04,373,리더잭텐셀풀스트링팬츠,628,1256
49,2022-06-04,377,올앤선드리원피스,185,3685
50,2022-06-05,430,자바나스반팔,1489,17770
