,등장일자,랭킹,키워드,일간검색량,월간검색량
0,2022-05-12,243,교련복,1993,21106
1,2022-05-12,304,마르조썸머인견팬츠,473,3005
2,2022-05-12,430,반팔크롭자켓,347,9346
3,2022-05-12,476,세루티자켓,760,3044
4,2022-05-13,57,올리비아로렌티셔츠,102,4054
5,2022-05-13,140,비비안마이핏네모팬티,1193,2209
6,2022-05-13,245,안나수이원피스,681,13794
7,2022-05-13,404,나이스,8950,192687
8,2022-05-14,198,행텐10320-150-404-51,325,1815
9,2022-05-14,293,리린,12963,399885
10,2022-05-14,465,법복,996,9795
11,2022-05-15,287,모르간썸머원피스,960,3996
12,2022-05-15,339,한지민가디건,1609,5869
13,2022-05-15,492,스프리스기능성바람막이,569,1380
14,2022-05-18,253,에바큐브,1472,4445
15,2022-05-18,421,여성정장하객룩,0,30
16,2022-05-18,432,나이키더블스우시후드집업,410,1208
17,2022-05-19,164,마틴발썸머울카라니트,969,3075
18,2022-05-19,398,여성여름정장,670,19504
19,2022-05-20,73,유니클로마르니,38447,131386
20,2022-05-20,355,딜레탕티즘,668,3503
21,2022-05-21,368,셀린느티셔츠,1427,21555
22,2022-05-21,377,닉스조거팬츠,924,3490
23,2022-05-21,429,클로앤차이가디건형니트,1502,3034
24,2022-05-22,210,디키즈874여자,2626,26513
25,2022-05-22,401,반팔청자켓,399,5721
26,2022-05-22,479,레이지카키하프조거팬츠,756,4787
27,2022-05-23,166,테이퍼드세미와이드청바지,81,568
28,2022-05-23,499,트위드반팔,370,10127
29,2022-05-24,457,마드제이,3081,30916
30,2022-05-25,222,테이핑브라,713,1517
31,2022-05-25,418,여성반팔가디건,375,9175
32,2022-05-25,449,유에르,4075,11070
33,2022-05-25,460,지오다노101221,44,1117
34,2022-05-26,446,커클랜드티셔츠,580,7214
35,2022-05-26,488,테니스원피스,480,9103
36,2022-05-27,443,러브이즈트루,768,19311
37,2022-05-27,492,가니송,61,2287
38,2022-05-28,333,신혼부부,194,7101
39,2022-05-28,442,리스트바지,311,8075
40,2022-05-28,460,여성롱원피스,445,13773
41,2022-05-28,488,폴로반팔셔츠,767,21565
42,2022-05-29,403,리바이스쿨진여성,769,1497
43,2022-05-30,214,엉뽕,42,1753
44,2022-05-31,289,비비안컴포트브라팬티,743,1476
45,2022-06-01,89,맥스튜어트뉴욕데님,1497,2657
46,2022-06-02,451,마리나요팅티셔츠,411,1303
47,2022-06-02,470,바스락스커트,305,7815
48,2022-06-03,405,비뮤즈맨션,1604,14846
49,2022-06-04,373,리더잭텐셀풀스트링팬츠,627,1315
50,2022-06-04,377,올앤선드리원피스,185,3725
51,2022-06-05,430,자바나스반팔,1479,17748
52,2022-06-06,358,세루티니트,1084,3807
53,2022-06-06,376,안지크원피스,806,4140
54,2022-06-06,411,올리브그린썸머하이웨이팬츠,820,2166
55,2022-06-06,424,코닥반팔티,1021,17118
56,2022-06-06,457,누모브라렛,11,87
57,2022-06-07,256,쌍방울하나만,1863,3238
58,2022-06-07,406,컬럼비아유니버시티,22,873
59,2022-06-10,72,비비안컴포트,1503,2214
60,2022-06-10,361,신영와코루슬림업,1321,2733
61,2022-06-10,429,아우터,123,5801
62,2022-06-10,468,비비안컴포트브라,397,985
