,등장일자,랭킹,키워드,일간검색량,월간검색량
59,2022-06-12,325,현재는아름다워옷,3909,29255
58,2022-06-11,487,쎄르페,7,673
57,2022-06-11,153,드로우즈팬티,20,234
56,2022-06-10,468,비비안컴포트브라,399,1025
55,2022-06-10,429,아우터,125,5705
54,2022-06-10,361,신영와코루슬림업,1319,2903
53,2022-06-07,406,컬럼비아유니버시티,23,845
52,2022-06-07,256,쌍방울하나만,1858,3386
51,2022-06-06,457,누모브라렛,10,95
50,2022-06-06,424,코닥반팔티,1040,17476
49,2022-06-06,411,올리브그린썸머하이웨이팬츠,818,2274
48,2022-06-06,376,안지크원피스,805,4294
47,2022-06-06,358,세루티니트,1065,3281
45,2022-06-04,373,리더잭텐셀풀스트링팬츠,626,2175
46,2022-06-04,377,올앤선드리원피스,185,3785
44,2022-06-03,405,비뮤즈맨션,1597,14313
43,2022-06-02,470,바스락스커트,304,8215
42,2022-06-02,451,마리나요팅티셔츠,411,1831
41,2022-06-01,89,맥스튜어트뉴욕데님,1501,2618
40,2022-05-31,289,비비안컴포트브라팬티,751,1516
39,2022-05-30,214,엉뽕,42,1743
38,2022-05-29,403,리바이스쿨진여성,767,1498
37,2022-05-28,488,폴로반팔셔츠,771,21929
36,2022-05-28,460,여성롱원피스,448,13944
35,2022-05-28,442,리스트바지,312,8224
34,2022-05-28,333,신혼부부,194,7121
33,2022-05-27,492,가니송,62,2350
32,2022-05-27,443,러브이즈트루,754,18534
31,2022-05-26,488,테니스원피스,481,9304
30,2022-05-26,446,커클랜드티셔츠,580,7246
28,2022-05-25,449,유에르,4078,11570
27,2022-05-25,418,여성반팔가디건,377,9234
26,2022-05-25,222,테이핑브라,718,1537
29,2022-05-25,460,지오다노101221,45,1199
25,2022-05-24,457,마드제이,3084,29996
24,2022-05-23,499,트위드반팔,371,10165
23,2022-05-23,166,테이퍼드세미와이드청바지,81,568
22,2022-05-22,479,레이지카키하프조거팬츠,757,4605
21,2022-05-22,401,반팔청자켓,404,5596
20,2022-05-22,210,디키즈874여자,2626,25914
17,2022-05-21,368,셀린느티셔츠,1426,21623
19,2022-05-21,429,클로앤차이가디건형니트,1536,2938
18,2022-05-21,377,닉스조거팬츠,925,3480
16,2022-05-20,355,딜레탕티즘,669,3544
15,2022-05-20,73,유니클로마르니,38220,133081
14,2022-05-19,398,여성여름정장,673,19853
13,2022-05-19,164,마틴발썸머울카라니트,976,3024
12,2022-05-18,432,나이키더블스우시후드집업,413,1239
11,2022-05-18,421,여성정장하객룩,0,30
10,2022-05-18,253,에바큐브,1465,4425
9,2022-05-15,492,스프리스기능성바람막이,569,1400
8,2022-05-15,339,한지민가디건,1611,5946
7,2022-05-15,287,모르간썸머원피스,1038,3937
6,2022-05-14,465,법복,942,9192
5,2022-05-14,293,리린,13002,392384
4,2022-05-14,198,행텐10320-150-404-51,309,1747
2,2022-05-13,245,안나수이원피스,655,15025
1,2022-05-13,140,비비안마이핏네모팬티,564,1041
3,2022-05-13,404,나이스,8945,181583
0,2022-05-13,57,올리비아로렌티셔츠,102,4183
